sample	MDS1	MDS2
highspore_1	-0.004071672221962	-0.004732333041306
highspore_2	-0.001640164510372	-0.005259029494779
highspore_3	-0.003336018298474	-0.005581266664264
highspore_4	-0.003488606186624	-0.004332286271976
highspore_5	-0.002395396169108	-0.000102426860574
highspore_6	-0.003119550718665	-0.006689087172619
highspore_7	-0.001244152950672	-0.004593116696526
highspore_8	-0.003160387494562	-0.002975246763967
highspore_9	-0.006286906079657	0.004035450720785
highspore_10	-0.003982660018281	-0.008162843944733
highspore_11	-0.004389651311939	-0.006045404144332
highspore_12	-0.001622073727064	-0.003300623437856
highspore_13	-0.006777587917555	0.00277086423719
highspore_14	-0.003110769274574	-0.000519548854699
highspore_15	-0.004489353855369	-0.0040076669587
highspore_16	-0.00719631282751	-0.001110879875636
highspore_17	-0.001616566359643	-0.00232907319183
highspore_18	-0.004249016154676	-0.004418015837725
highspore_19	-0.007283810252684	-0.00187414650959
highspore_20	-0.002544839046347	-0.005892574537692
highspore_21	-0.010725205827103	-0.004074764709056
highspore_22	-0.004098765998551	0.00244255922526
highspore_23	-0.005657168692835	-0.0052819729212
highspore_24	-0.002686306913146	-0.003599490653099
highspore_25	-0.005153337433703	-0.000547851953955
highspore_26	-0.001776903192593	-0.006211880944888
highspore_27	-0.006839763070673	-0.005693298649866
highspore_28	-0.008676459649134	-0.010293205889515
highspore_29	-0.004787633454099	0.006991255670913
highspore_30	-0.004303629571802	0.004537021659245
highspore_31	-0.006552078108023	0.002115534635663
highspore_32	-0.001511144449684	-0.006507679001845
highspore_33	-0.004137412375602	-0.004957906169456
highspore_34	-0.005187397588135	0.000757861112299
highspore_35	-0.003476610892081	0.000761369401612
highspore_36	-0.00459056307207	-0.004803990535523
highspore_37	-0.004096588976182	-0.00706241088257
highspore_38	-0.0053460399473	-0.006259048243252
highspore_39	-0.004625641885336	-0.004554194280689
highspore_40	-0.001576157485657	-0.007729842764033
highspore_41	-0.003788096546839	-0.007686002117803
highspore_42	-0.007313434908926	-0.007645207838187
highspore_43	-0.010441009946656	0.00362303649656
highspore_44	-0.008521594479999	0.000130544207929
highspore_45	-0.005062395908931	-0.005502138218269
highspore_46	-0.007424354560959	-0.003606085132326
highspore_47	-0.008768601873949	-0.000493137232138
highspore_48	-0.001719854615798	-0.002796346194359
highspore_49	-0.004979501619826	0.004664361680757
highspore_50	-0.0019233839158	-0.004064595297061
highspore_51	-0.004567204303844	-0.007417454759436
highspore_52	-0.005212882350579	0.002413220452205
highspore_53	-0.003171027865088	-0.003714075475655
highspore_54	-0.002511332092141	-0.005465176271102
highspore_55	-0.008199924468391	-0.009878411888013
highspore_56	-0.002716269172125	0.004376644904424
highspore_57	-0.003268208575657	-0.005188026091001
highspore_58	-0.000269393745784	-0.005293836948532
highspore_59	-0.002732420556154	-0.006323233280772
highspore_60	-0.004827110201682	0.003133578595306
highspore_61	-0.005264030847144	-0.005685741818015
highspore_62	-0.007038523779925	-0.007653150619213
highspore_63	-0.003722511669839	-0.00367500102212
highspore_64	-0.004883121396041	-0.001703780847123
highspore_65	-0.004955614187241	-0.004686454323621
highspore_66	-0.000944571940687	-0.007073546961654
highspore_67	-0.007536545321397	-0.009054195664305
highspore_68	-0.002769096804625	0.001428167742865
highspore_69	-0.002043835913547	-0.005077471722494
highspore_70	-0.009248516039498	-0.0059965436372
highspore_71	-0.003279965851934	-0.00390542773923
highspore_72	-0.001289050578964	-0.005386433914754
highspore_73	-0.006187769906711	-0.008239043351936
