essential	patric
CDR20291_1163	645463.3.peg.1020
CDR20291_1168	645463.3.peg.102
CDR20291_1170	645463.3.peg.1021
CDR20291_1171	645463.3.peg.1022
CDR20291_1195	645463.3.peg.1023
CDR20291_1197	645463.3.peg.1024
CDR20291_1202	645463.3.peg.1025
CDR20291_1203	645463.3.peg.1026
CDR20291_1209	645463.3.peg.103
CDR20291_1213	645463.3.peg.1027
CDR20291_1223	645463.3.peg.1028
CDR20291_1254	645463.3.peg.1029
CDR20291_1255	645463.3.peg.1030
CDR20291_1298	645463.3.peg.1031
CDR20291_1299	645463.3.peg.104
CDR20291_1300	645463.3.peg.1032
CDR20291_1301	645463.3.peg.1033
CDR20291_1303	645463.3.peg.1034
CDR20291_1304	645463.3.peg.105
CDR20291_1338	645463.3.peg.1035
CDR20291_1370	645463.3.peg.1036
CDR20291_1393	645463.3.peg.1037
CDR20291_1418B	645463.3.peg.106
CDR20291_1419A	645463.3.peg.1038
CDR20291_1436A	645463.3.peg.1039
CDR20291_1459	645463.3.peg.107
CDR20291_1464A	645463.3.peg.1040
CDR20291_1469	645463.3.peg.1041
CDR20291_1675	645463.3.peg.1042
CDR20291_1676	645463.3.peg.1043
CDR20291_1677	645463.3.peg.1044
CDR20291_1678	645463.3.peg.108
CDR20291_1712	645463.3.peg.1045
CDR20291_1713	645463.3.peg.1046
CDR20291_1744	645463.3.peg.1047
CDR20291_1745	645463.3.peg.1048
CDR20291_1747	645463.3.peg.1049
CDR20291_1750	645463.3.peg.1050
CDR20291_1752	645463.3.peg.109
CDR20291_1755	645463.3.peg.1051
CDR20291_1756	645463.3.peg.1052
CDR20291_1757	645463.3.peg.1053
CDR20291_1758	645463.3.peg.1054
CDR20291_1760	645463.3.peg.1055
CDR20291_1762	645463.3.peg.1056
CDR20291_1767	645463.3.peg.1057
CDR20291_1768	645463.3.peg.110
CDR20291_1769	645463.3.peg.1058
CDR20291_1773	645463.3.peg.1059
CDR20291_1778	645463.3.peg.1060
CDR20291_1781	645463.3.peg.1061
CDR20291_1782	645463.3.peg.1062
CDR20291_1783	645463.3.peg.1063
CDR20291_1784	645463.3.peg.1064
CDR20291_1786	645463.3.peg.1065
CDR20291_1788	645463.3.peg.111
CDR20291_1793	645463.3.peg.1066
CDR20291_1839	645463.3.peg.1067
CDR20291_1854	645463.3.peg.1068
CDR20291_1859	645463.3.peg.1069
CDR20291_1860	645463.3.peg.1070
CDR20291_1861	645463.3.peg.1071
CDR20291_1862	645463.3.peg.112
CDR20291_1906	645463.3.peg.1072
CDR20291_1914A	645463.3.peg.1073
CDR20291_1914B	645463.3.peg.1074
CDR20291_1920A	645463.3.peg.1075
CDR20291_1930	645463.3.peg.1076
CDR20291_1966	645463.3.peg.1077
CDR20291_2020	645463.3.peg.1078
CDR20291_2029	645463.3.peg.113
CDR20291_2035	645463.3.peg.1079
CDR20291_2037	645463.3.peg.1080
CDR20291_2041	645463.3.peg.1081
CDR20291_2042	645463.3.peg.1082
CDR20291_2044	645463.3.peg.1083
CDR20291_2045	645463.3.peg.1084
CDR20291_2046	645463.3.peg.1085
CDR20291_2047	645463.3.peg.1086
CDR20291_2106	645463.3.peg.1087
CDR20291_2144	645463.3.peg.114
CDR20291_2193	645463.3.peg.1088
CDR20291_2196	645463.3.peg.1089
CDR20291_2197	645463.3.peg.1090
CDR20291_2199	645463.3.peg.1091
CDR20291_2202	645463.3.peg.1092
CDR20291_2224	645463.3.peg.1093
CDR20291_2299A	645463.3.peg.1094
CDR20291_2300	645463.3.peg.115
CDR20291_2309	645463.3.peg.1095
CDR20291_2324	645463.3.peg.1096
CDR20291_2325	645463.3.peg.1097
CDR20291_2329	645463.3.peg.1098
CDR20291_2332	645463.3.peg.1099
CDR20291_2339	645463.3.peg.1100
CDR20291_2354	645463.3.peg.1101
CDR20291_2355	645463.3.peg.1102
CDR20291_2366	645463.3.peg.1103
CDR20291_2367	645463.3.peg.1104
CDR20291_2385	645463.3.peg.1105
CDR20291_2410	645463.3.peg.116
CDR20291_2413	645463.3.peg.1106
CDR20291_2443	645463.3.peg.1107
CDR20291_2460	645463.3.peg.1108
CDR20291_2462	645463.3.peg.1109
CDR20291_2463	645463.3.peg.1110
CDR20291_2470	645463.3.peg.1111
CDR20291_2472	645463.3.peg.117
CDR20291_2473	645463.3.peg.1112
CDR20291_2474	645463.3.peg.1113
CDR20291_2475	645463.3.peg.1114
CDR20291_2476	645463.3.peg.1115
CDR20291_2477	645463.3.peg.1116
CDR20291_2493	645463.3.peg.1117
CDR20291_2501	645463.3.peg.1118
CDR20291_2502	645463.3.peg.1119
CDR20291_2506	645463.3.peg.118
CDR20291_2507	645463.3.peg.1120
CDR20291_2518	645463.3.peg.1121
CDR20291_2519	645463.3.peg.1122
CDR20291_2526	645463.3.peg.1123
CDR20291_2534	645463.3.peg.1124
CDR20291_2539	645463.3.peg.1125
CDR20291_2541	645463.3.peg.1126
CDR20291_2542	645463.3.peg.1127
CDR20291_2543	645463.3.peg.1128
CDR20291_2552	645463.3.peg.1129
CDR20291_2564	645463.3.peg.1130
CDR20291_2569	645463.3.peg.1131
CDR20291_2571	645463.3.peg.1132
CDR20291_2602	645463.3.peg.1133
CDR20291_2603	645463.3.peg.1134
CDR20291_2628	645463.3.peg.1135
CDR20291_2629	645463.3.peg.1136
CDR20291_2630	645463.3.peg.1137
CDR20291_2632	645463.3.peg.1138
CDR20291_2633	645463.3.peg.1139
CDR20291_2657	645463.3.peg.1140
CDR20291_2658	645463.3.peg.1141
CDR20291_2659	645463.3.peg.1142
CDR20291_2660	645463.3.peg.1144
CDR20291_2661	645463.3.peg.1145
CDR20291_2662	645463.3.peg.1146
CDR20291_2663	645463.3.peg.1147
CDR20291_2664	645463.3.peg.1148
CDR20291_2665	645463.3.peg.1149
CDR20291_2666	645463.3.peg.1150
CDR20291_2668	645463.3.peg.1151
CDR20291_2669	645463.3.peg.1152
CDR20291_2670	645463.3.peg.1153
CDR20291_2671	645463.3.peg.1154
CDR20291_2681	645463.3.peg.1155
CDR20291_2682	645463.3.peg.1156
CDR20291_2688A	645463.3.peg.1157
CDR20291_2694	645463.3.peg.1158
CDR20291_2709A	645463.3.peg.1159
CDR20291_2723A	645463.3.peg.1160
CDR20291_2834	645463.3.peg.1161
CDR20291_2961B	645463.3.peg.1162
CDR20291_3004	645463.3.peg.1163
CDR20291_3005	645463.3.peg.1164
CDR20291_3006	645463.3.peg.1165
CDR20291_3011	645463.3.peg.1166
CDR20291_3024	645463.3.peg.1167
CDR20291_3026	645463.3.peg.1168
CDR20291_3027	645463.3.peg.1169
CDR20291_3028	645463.3.peg.1170
CDR20291_3029	645463.3.peg.1171
CDR20291_3030	645463.3.peg.1172
CDR20291_3081	645463.3.peg.1173
CDR20291_3084	645463.3.peg.1174
CDR20291_3085	645463.3.peg.1175
CDR20291_3086	645463.3.peg.1176
CDR20291_3087	645463.3.peg.1177
CDR20291_3111	645463.3.peg.1178
CDR20291_3114	645463.3.peg.1179
CDR20291_3146	645463.3.peg.1180
CDR20291_3161	645463.3.peg.1181
CDR20291_3162	645463.3.peg.1182
CDR20291_3165	645463.3.peg.1183
CDR20291_3170	645463.3.peg.1184
CDR20291_3187A	645463.3.peg.1185
CDR20291_3217	645463.3.peg.1186
CDR20291_3218	645463.3.peg.1187
CDR20291_3219	645463.3.peg.1188
CDR20291_3224	645463.3.peg.1189
CDR20291_3261B	645463.3.peg.1190
CDR20291_3302	645463.3.peg.1191
CDR20291_3303	645463.3.peg.1192
CDR20291_3304	645463.3.peg.1193
CDR20291_3305	645463.3.peg.1194
CDR20291_3306	645463.3.peg.1195
CDR20291_3307	645463.3.peg.1196
