272563.8.peg.1224	CD1166
272563.8.peg.1231	CD1173
272563.8.peg.1233	CD1175
272563.8.peg.1235	CD1176A
272563.8.peg.1238	CD1179
272563.8.peg.1240	CD1181
272563.8.peg.1243	CD1184
272563.8.peg.1250	CD1191
272563.8.peg.1264	CD1205
272563.8.peg.1266	CD1207
272563.8.peg.1279	CD1220
272563.8.peg.1282	CD1223
272563.8.peg.1283	CD1224
272563.8.peg.1284	CD1225
272563.8.peg.1312	CD1248
272563.8.peg.1314	CD1250
272563.8.peg.1318	CD1253
272563.8.peg.1322	CD1257
272563.8.peg.1339	CD1274
272563.8.peg.1344	CD1279
272563.8.peg.1347	CD1282
272563.8.peg.1360	CD1295
272563.8.peg.1361	CD1296
272563.8.peg.1365	CD1300
272563.8.peg.1370	CD1304
272563.8.peg.1373	CD1307
272563.8.peg.1382	CD1315
272563.8.peg.1383	CD1316
272563.8.peg.1389	CD1322
272563.8.peg.1394	CD1327
272563.8.peg.1399	CD1332
272563.8.peg.1401	CD1334
272563.8.peg.1403	CD1336
272563.8.peg.1405	CD1338
272563.8.peg.1406	CD1339
272563.8.peg.1407	CD1340
272563.8.peg.1411	CD1343
272563.8.peg.1421	CD1353
272563.8.peg.1453	CD1382
272563.8.peg.1457	CD1386
272563.8.peg.1458	CD1387
272563.8.peg.1472	CD1401
272563.8.peg.1473	CD1402
272563.8.peg.1479	CD1407
272563.8.peg.1481	CD1409
272563.8.peg.1517	CD1445
272563.8.peg.1518	CD1446
272563.8.peg.1519	CD1447
272563.8.peg.1521	CD1449
272563.8.peg.1522	CD1450
272563.8.peg.1523	CD1451
272563.8.peg.1524	CD1452
272563.8.peg.1525	CD1453
272563.8.peg.1527	CD1455
272563.8.peg.1551	CD1479
272563.8.peg.1554	CD1482
272563.8.peg.1555	CD1483
272563.8.peg.1556	CD1484
272563.8.peg.1562	CD1490
272563.8.peg.1563	CD1491
272563.8.peg.1567	CD1495
272563.8.peg.1570	CD1498
272563.8.peg.1574	CD1502
272563.8.peg.1586	CD1512
272563.8.peg.1587	CD1513
272563.8.peg.1593	CD1517
272563.8.peg.1597	CD1521
272563.8.peg.1602	CD1526
272563.8.peg.1610	CD1534
272563.8.peg.1623	CD1547
272563.8.peg.1625	CD1549
272563.8.peg.1626	CD1550
272563.8.peg.1628	CD1552
272563.8.peg.1629	CD1553
272563.8.peg.1630	CD1554
272563.8.peg.1641	CD1566
272563.8.peg.1647	CD1570
272563.8.peg.1652	CD1577
272563.8.peg.1655	CD1580
272563.8.peg.1657	CD1582
272563.8.peg.1667	CD1591
272563.8.peg.1668	CD1592
272563.8.peg.1669	CD1593
272563.8.peg.1670	CD1594
272563.8.peg.1671	CD1595
272563.8.peg.1673	CD1596
272563.8.peg.1676	CD1599
272563.8.peg.1677	CD1600
272563.8.peg.1678	CD1601
272563.8.peg.1679	CD1602
