metabolite	iCdG700_sim	Cd630_biolog	iCdR700_sim	CdR20291_biolog
cpd00492	5.781194768469424	1.841	1.105945945945946	1.784
cpd00477	0	1.084	0	1.133
cpd00232	5.781194768469424	1.900	1.105945945945946	1.611
cpd00075	0	0.879	0	1.007
cpd00738	0	1.435	0	1.366
cpd08928	0	1.415	0	1.344
cpd00247	0	1.422	0	1.304
cpd00443	5.781194768469424	1.111	1.105945945945946	1.245
cpd00489	5.781194768469424	0.914	1.105945945945946	1.019
cpd00009	-0.5600359430793108	1.040	0.46378378378378377	1.630
cpd00457	0	1.431	0	1.245
cpd00141	-0.5600359430793108	1.188	0.46378378378378377	1.327
cpd00118	0	1.781	0	1.375
cpd00215	0	1.373	0	1.388
cpd00020	0	1.061	0	1.519
cpd00220	-0.5600359430793108	1.299	0.46378378378378377	1.367
cpd01030	-0.5600359430793108	2.036	0.46378378378378377	1.635
cpd00036	-0.5600359430793108	1.033	0.46378378378378377	1.010
cpd00076	-0.5600359430793108	1.453	0.46378378378378377	1.644
cpd00210	-0.5600359430793108	1.047	0.46378378378378377	1.586
cpd03047	0	1.087	0	1.502
cpd00305	-0.5600359430793108	1.012	0.46378378378378377	1.276
cpd00793	0	1.234	0	1.269
cpd00184	0	1.469	0	1.635
cpd00151	0	1.365	0	1.322
cpd20885	0	1.498	0	1.502
cpd00374	0	1.281	0	1.117
cpd00092	-0.5600359430793108	1.680	0.46378378378378377	1.329
cpd00300	0	1.547	0	1.145
cpd00249	0	1.641	0	1.875
cpd00309	-0.5600359430793108	7.578	1.2324324324324323	7.233
cpd01217	0	1.828	0	1.201
