base_pfba	0.8	0.796	0.783	0.88	0.757	0.795	0.778	0.754	0.761	0.757	0.777	0.775	0.786	0.752	0.764	0.749	0.772	0.768	0.807	0.76	0.753	0.751	0.773	0.766	0.759	0.762	0.767	0.784	0.756	0.792	0.828	0.785	0.808	0.75	0.751	0.792	0.773	0.761	0.768	0.791	0.808	0.827
m9_gluc_aerobic	0.745	0.759	0.769	0.76	0.774	0.741	0.737	0.74	0.759	0.741	0.823	0.737	0.747	0.772	0.745	0.807	0.736	0.736	0.755	0.747	0.743	0.777	0.782	0.775	0.756	0.759	0.754	0.736	0.763	0.746	0.766	0.737	0.776	0.758	0.773	0.735	0.771	0.738	0.748	0.741	0.755	0.766
m9_gluc_anaerobic	0.596	0.567	0.548	0.561	0.545	0.548	0.54	0.565	0.576	0.633	0.563	0.569	0.533	0.536	0.539	0.536	0.554	0.57	0.574	0.531	0.557	0.562	0.536	0.559	0.547	0.663	0.542	0.538	0.534	0.545	0.619	0.582	0.545	0.536	0.568	0.552	0.533	0.595	0.641	0.549	0.553	0.595
lb_aerobic	0.391	0.411	0.422	0.385	0.37	0.437	0.38	0.369	0.451	0.377	0.399	0.372	0.399	0.429	0.397	0.386	0.369	0.372	0.39	0.378	0.423	0.368	0.397	0.388	0.384	0.39	0.374	0.415	0.377	0.407	0.455	0.38	0.449	0.393	0.377	0.37	0.403	0.442	0.393	0.401	0.4	0.373
