gene	transcript	inclusion
b3360	0.0	1
b3367	0.0	0
b3366	0.0	0
b3365	1.0	0
b2917	0.0	0
b0019	2.0	0
b0463	1.0	0
b2914	1.0	1
b2661	1.0	0
b2912	0.0	0
b2663	0.0	1
b2662	1.0	0
b3693	0.0	0
b3691	0.0	0
b4169	1.0	0
b1263	1.0	0
b4160	3.0	1
b4161	2.0	0
b2261	1.0	1
b2260	0.0	1
b2263	0.0	1
b2262	1.0	1
b2265	1.0	0
b2264	1.0	1
b3428	5.0	0
b4034	0.0	0
b0124	1.0	0
b0125	1.0	0
b0126	2.0	1
b0040	0.0	0
b0120	1.0	0
b3744	0.0	0
b3747	1.0	1
b0123	6.0	0
b0087	1.0	1
b4032	0.0	0
b2344	0.0	0
b0084	2.0	1
b2342	0.0	1
b2615	1.0	1
b2341	0.0	1
b2167	1.0	0
b2162	0.0	0
b2930	0.0	0
b0401	3.0	1
b2168	0.0	0
b2169	0.0	0
b3846	0.0	1
b3844	2.0	1
b3845	0.0	1
b0061	0.0	0
b3843	2.0	1
b0063	0.0	0
b1488	0.0	0
b2988	8.0	0
b3833	1.0	1
b3962	1.0	0
b2867	0.0	0
b2866	0.0	0
b3967	1.0	0
b3849	1.0	1
b0048	0.0	1
b2528	1.0	1
b1210	1.0	1
b3789	0.0	0
b0404	0.0	0
b2963	0.0	0
b3994	8.0	0
b3996	1.0	0
b2507	4.0	0
b2500	1.0	0
b2501	2.0	1
b2502	1.0	0
b3993	2.0	0
b2467	0.0	0
b0894	1.0	0
b2465	4.0	1
b2464	2.0	1
b2463	1.0	0
b2296	11.0	1
b3058	0.0	1
b2715	0.0	0
b2871	0.0	0
b2711	0.0	0
b0724	0.0	0
b2719	1.0	0
b2291	0.0	0
b2485	0.0	0
b2484	0.0	0
b2487	0.0	0
b2486	0.0	0
b3212	21.0	0
b2480	1.0	0
b2482	0.0	0
b2521	2.0	0
b2488	0.0	0
b0729	0.0	1
b3063	0.0	1
b1779	44.0	1
b3502	0.0	0
b2762	1.0	0
b2763	3.0	0
b2764	3.0	0
b2765	0.0	0
b1015	0.0	1
b1014	0.0	0
b1012	0.0	0
b1011	0.0	0
b1010	0.0	0
b3089	10.0	1
b4227	0.0	0
b4226	3.0	0
b3541	1.0	1
b3540	1.0	1
b1260	1.0	0
b3546	1.0	0
b1262	1.0	0
b3544	4.0	1
b3528	0.0	1
b0033	1.0	0
b4055	0.0	0
b3460	1.0	0
b1528	0.0	0
b3061	0.0	1
b3062	0.0	1
b0914	2.0	1
b0574	0.0	0
b1640	0.0	0
b0037	0.0	0
b1866	8.0	0
b3374	0.0	0
b0849	0.0	0
b1865	1.0	1
b1646	0.0	0
b2901	1.0	0
b1901	0.0	0
b0842	0.0	1
b0841	0.0	1
b3368	0.0	1
b4208	2.0	0
b1907	0.0	1
b4120	0.0	0
b4122	0.0	1
b0509	0.0	1
b1589	0.0	0
b0118	5.0	1
b0115	18.0	0
b1584	0.0	0
b1587	0.0	0
b0116	8.0	1
b0355	0.0	0
b0110	1.0	0
b0112	4.0	1
b0698	0.0	0
b1740	2.0	0
b1747	0.0	0
b1746	0.0	0
b1745	0.0	0
b1900	0.0	0
b0692	0.0	1
b1463	0.0	0
b1748	0.0	0
b0696	0.0	0
b0697	0.0	0
b1465	0.0	1
b0591	0.0	0
b0590	0.0	1
b0593	0.0	1
b0592	0.0	1
b0595	0.0	0
b0594	0.0	0
b0596	0.0	0
b2965	0.0	0
b0617	0.0	0
b2308	0.0	0
b2309	0.0	0
b0980	8.0	0
b3666	0.0	1
b2424	1.0	1
b0160	0.0	0
b2022	2.0	0
b3035	5.0	0
b0166	4.0	0
b0340	0.0	0
b0341	0.0	0
b3431	3.0	0
b3034	1.0	0
b2287	2.0	1
b2538	0.0	0
b2285	2.0	1
b0431	0.0	0
b0348	0.0	0
b0349	0.0	0
b2536	0.0	0
b0895	0.0	0
b2530	3.0	1
b2533	0.0	0
b0029	1.0	1
b4154	7.0	1
b3809	1.0	0
b4151	1.0	1
b4019	8.0	0
b0180	3.0	0
b4152	1.0	1
b4014	21.0	1
b4015	9.0	1
b1193	0.0	0
b3806	8.0	0
b3807	0.0	1
b3804	1.0	1
b4013	1.0	0
b4094	0.0	0
b3909	0.0	0
b1855	1.0	0
b0615	0.0	0
b3946	0.0	1
b0933	0.0	0
b0932	5.0	1
b3893	0.0	0
b3892	0.0	0
b0937	0.0	1
b3894	1.0	0
b0935	0.0	0
b0934	0.0	0
b2540	0.0	0
b2541	0.0	0
b2234	0.0	1
b2235	0.0	1
b2232	1.0	1
b3480	0.0	0
b0929	3.0	1
b3958	0.0	0
b2053	0.0	0
b2751	3.0	0
b2750	0.0	0
b2752	2.0	0
b0381	2.0	0
b0507	0.0	0
b3803	1.0	1
b0334	0.0	0
b1588	0.0	0
b0238	0.0	0
b3930	0.0	1
b0505	0.0	0
b3654	1.0	0
b4036	0.0	0
b3939	0.0	0
b3952	0.0	1
b3432	6.0	0
b1468	1.0	1
b2435	0.0	0
b2436	0.0	0
b1469	0.0	1
b0182	1.0	0
b2947	1.0	0
b2913	44.0	0
b2277	1.0	1
b1638	2.0	0
b1744	0.0	0
b1637	4.0	0
b1636	1.0	0
b1634	3.0	0
b2148	0.0	0
b2788	0.0	0
b3575	0.0	0
b0693	0.0	0
b3028	0.0	0
b3029	2.0	0
b3821	0.0	0
b0809	0.0	0
b3201	1.0	0
b1466	0.0	1
b0805	0.0	0
b2379	0.0	1
b1467	0.0	1
b0152	0.0	0
b2943	0.0	0
b0367	0.0	0
b1126	1.0	1
b1125	0.0	1
b1124	0.0	1
b1123	1.0	1
b3591	1.0	0
b1308	0.0	0
b1319	0.0	0
b1701	0.0	0
b1252	0.0	1
b3599	1.0	0
b0654	0.0	0
b3610	0.0	0
b3617	1.0	0
b3616	0.0	0
b0650	0.0	0
b0651	0.0	0
b0090	1.0	1
b4219	1.0	0
b0158	0.0	1
b2306	0.0	0
b0642	9.0	0
b0508	0.0	0
b3397	0.0	0
b3114	0.0	1
b3433	15.0	0
b0721	0.0	0
b1009	0.0	0
b3290	1.0	1
b0722	0.0	0
b0723	0.0	0
b0720	2.0	0
b0893	13.0	0
b3059	0.0	0
b1225	15.0	1
b1226	8.0	1
b1227	4.0	1
b1654	0.0	0
b3057	0.0	1
b1380	2.0	1
b3503	0.0	0
b1386	0.0	0
b1385	0.0	0
b3500	2.0	0
