MDS1	MDS2
rough_1	-0.00886563776483426	-0.00492633781654326
rough_2	0.00439867442706024	-0.00337183980743485
rough_3	0.00884792670175889	0.0134546694914218
rough_4	0.00080438128066838	-0.00889812090479542
rough_5	-0.00437241648108665	0.00529867658442965
rough_6	-0.0164022291506377	-0.0020395136123957
rough_7	-0.00385538486488306	0.00871910482956778
rough_8	-0.0246568403264113	-0.00328900062636031
rough_9	-0.0111565215090965	-0.0147515500377461
rough_10	-0.0160711988261556	-0.00812413116991246
rough_11	-0.0168655280278191	0.00969061254989615
rough_12	-0.00913211742269265	-0.0123398588161141
rough_13	-0.0107361066103313	0.0147762845444892
rough_14	-0.0106751247258017	-0.00794647419292344
rough_15	0.00985979240437181	0.00542021351039025
rough_16	-0.0128458759351047	-0.0133271531919755
rough_17	-0.00842236178175721	-0.008651626283349
rough_18	-0.0186666527455382	0.00965699781352417
rough_19	-0.0111184600136942	-0.00783144297297577
rough_20	-0.0209390655782186	-0.00789619211221221
rough_21	0.00877376353450228	0.00710717432121212
rough_22	-0.0202311331161327	-0.00824965170225424
rough_23	-0.0245738509424132	-0.00404065720707654
rough_24	0.00810734509976869	0.00738227622194148
rough_25	-0.0182812697445552	0.0089079079798813
rough_26	-0.00542427425289484	0.0128041761633944
rough_27	-0.0166939890948743	0.0116620808047789
rough_28	-0.0249001697295788	0.00968576328184435
rough_29	0.00279249773912953	0.0146593837492915
rough_30	-0.0161841151353373	-0.00633628404449054
rough_31	-0.0141700342324364	0.00280552580581618
rough_32	-0.00149480857289821	-0.00391660703506346
rough_33	-0.0271964229478874	0.0059818136103316
rough_34	-0.0257402921546309	-0.00103043208258345
rough_35	0.00520461123474643	0.00677959375197043
rough_36	-0.0204936527870012	-0.0105023216291079
rough_37	-0.00875043292572185	0.0144690485174153
rough_38	0.0103627400339232	0.0101773645370753
rough_39	0.00722350093860407	0.00149279990029095
rough_40	-0.0198949786647496	0.00839963382338365
rough_41	-0.0140016334971806	-0.00469493745031328
rough_42	-0.00975522737086631	-0.0146086258166138
rough_43	-0.011970239385915	0.00524180709158244
rough_44	-0.00312130666520078	0.00632731845632603
rough_45	-0.0237724541114867	-0.00510522503392991
rough_46	-0.00889953566991695	0.0144079430072455
rough_47	-0.0266740360877637	0.0140250602774243
rough_48	-0.0111995684859511	-0.0124778251493503
rough_49	0.00713744734306704	0.00693657035138135
rough_50	-0.0127357977871966	-0.0127608423380843
rough_51	-0.0128202771928493	-0.00895815811734493
rough_52	0.006974105832784	0.0152901484255974
rough_53	-0.0126068841575661	-0.0121682922189002
rough_54	-0.0176358618533654	-0.00804448325811224
rough_55	0.00790391376660877	0.00700990275086581
rough_56	-0.0170747405881379	0.00946241497457437
rough_57	-0.000817999579785588	0.0180584577164823
rough_58	-0.0117291044667293	-0.00591220173643642
rough_59	0.0100219566846378	0.0124054530314514
rough_60	0.00920986955164813	0.00439743436510209
rough_61	-0.0152163332042354	-0.0094084911831707
rough_62	-0.0158617608667686	-0.00679013784437963
rough_63	-0.00359255873418554	0.00942264921580932
rough_64	-0.00802241680253112	0.00862011386537057
rough_65	-0.0136696507151981	0.0132195930010457
rough_66	0.00731432794894411	0.0131514132962622
rough_67	-0.00348219765388258	-0.00503472367874305
rough_68	-0.00378261700274598	0.00571524142032047
rough_69	0.00664030259642514	0.00690040745517035
rough_70	0.000407173646639413	-0.000966896358719685
rough_71	-0.00291808382061485	0.00849562428367324
rough_72	-0.0175997848600666	0.00893204365527786
rough_73	-0.0260239772195532	-0.00040015616943855
rough_74	-0.00578486794872117	0.0156296211698892
rough_75	-0.00418054043186235	0.0147350167556326
rough_76	-0.0114775554737027	-0.00510872310914244
rough_77	-0.000248114537763435	0.012994308092351
rough_78	-0.0174332120157523	0.0120374498011895
rough_79	-0.00759317595866895	-0.00491931324871324
rough_80	0.0104528290809563	0.00724794152533367
rough_81	-0.0142266406872011	0.0125039507290297
rough_82	-0.0093377077834126	0.0153134949251439
rough_83	-0.0160861098301824	0.00203378680094309
rough_84	-0.0172679298417888	0.00746630643136636
rough_85	-0.0154765003808889	0.0125698142885021
rough_86	-0.0120786279117315	-0.0153768543301944
rough_87	-0.0145892218388603	-0.00731101860527476
rough_88	-0.00977966492731951	0.0038538059193338
rough_89	-0.016592048320236	-0.0133386065006199
rough_90	0.00327516227011587	0.00657404175155878
rough_91	0.00257993491259297	0.00666253011908159
rough_92	-0.0102818852159074	-0.00744624152408379
rough_93	-0.0140655383399546	0.0111199540820566
rough_94	-0.00649914212132759	-0.00426115774938816
rough_95	0.0100353225344257	0.00715298780384769
rough_96	-0.0252389074130866	0.0135789218084276
rough_97	-0.0168220024074538	0.00178477446576387
rough_98	-0.00555857176783563	-0.00812796763697386
rough_99	-0.022670039363103	0.000774230198944509
rough_100	-0.0258231885021345	0.0140695138972621
rough_101	-0.0201227845111011	0.0091395278077471
rough_102	-0.0257621613975078	-0.0013918327745544
rough_103	-0.0176704414857324	0.0119371670434156
rough_104	-0.0157702059825544	0.0113495907964601
rough_105	-0.00137164568965752	-0.00420014361156255
rough_106	-0.013657238249999	0.0127884954607486
rough_107	-0.0154940668399783	0.0112782761755145
rough_108	-0.00611430262727696	0.0166893336509838
rough_109	-0.00646652173570707	-0.00184461373114469
rough_110	-0.01565533126182	-0.0142557714800014
rough_111	-0.0153998974030899	-0.00819904170881994
rough_112	-0.0108947164624797	0.0131199926424411
rough_113	-0.0110994108850215	0.00361188959299469
rough_114	-0.00693534296393042	-0.00219880249834488
rough_115	-0.0121079098156688	0.00334484330818604
rough_116	-0.0139357262849129	0.00773909191130157
rough_117	-0.0163152198685841	0.00272294673135534
rough_118	6.16001737950335e-05	-0.00585577236013233
rough_119	0.00493525611942058	0.0130212790833694
rough_120	0.0105935117283557	0.00670238899762164
rough_121	-0.012571177500908	-0.00908399269778681
rough_122	-0.0235263156335516	-0.00648752969732156
rough_123	-0.0169102747442341	-0.00621072224821241
rough_124	-0.0133898685291773	-0.00755207633236567
rough_125	-0.0192909695332209	0.00884709944448578
rough_126	-0.00289477613278377	0.0100126526137764
rough_127	-0.0213467188910542	0.00783714211989472
rough_128	-0.0162379432649005	-0.0136752953892514
rough_129	-0.00228828473089265	0.0178805146826151
rough_130	-0.0117335349947127	-0.00802688612268451
rough_131	-0.0181537700385944	-0.0085410561608335
rough_132	-0.0107255072693971	0.00365932589636622
rough_133	-0.0203183763896776	-0.00779937101416996
rough_134	-0.00807047057775201	-0.00635014701899219
rough_135	0.00474660292372516	0.00868670412988366
rough_136	-0.00394781574923343	-0.00848459439844873
rough_137	-0.0177280628411058	-0.00658443992470355
rough_138	-0.0261442391031713	-0.000118324472926363
rough_139	0.00549451941401557	0.00155815858209093
rough_140	-0.010559516848544	-0.0115656930053036
rough_141	-0.0130294301026676	0.013672061261758
rough_142	-0.00210346335272867	-0.00885553879749212
rough_143	0.00833706453828214	0.0132452154464745
rough_144	-0.0102103333429149	-0.00551510343061592
rough_145	-0.00516549369010416	0.0173984084153845
rough_146	-0.00122852072450282	0.0158167123871377
rough_147	-0.019655499271701	0.00703565048396623
rough_148	-0.0205394183869663	0.00732965872405226
rough_149	-0.0098996858245304	-0.0102348799927859
rough_150	-0.000276286225376752	0.0181250550938998
rough_151	-0.0203922189308883	-0.00100507567525706
rough_152	-0.0264942295825279	0.000708061955415235
rough_153	-0.00329599426611191	0.0141964777487581
rough_154	-0.0133839592476545	0.0050195942799941
rough_155	0.000408633885576333	0.0129933014483823
rough_156	-0.0191401545448425	-0.00128888621697794
rough_157	0.00678972326648031	0.000860039551984168
rough_158	-0.0111297474729541	0.00524953744223845
rough_159	-0.0110843313995711	0.00241589213089083
rough_160	0.000905783209417947	0.0130061971414763
rough_161	-0.0231086651246246	-0.00650010384708302
rough_162	-0.0161016957295632	0.0141011514343723
rough_163	-0.0203599940458801	0.00815476088781952
rough_164	0.0025152506780238	0.00131485220509681
rough_165	-0.00397197770439457	0.014776238773431
rough_166	-0.00293064526635282	0.0161419237663852
rough_167	-0.00554608716023065	-0.00485423027918089
rough_168	-0.0242933320011074	0.0134210103593644
rough_169	-0.0200001521963187	0.00715773440684155
rough_170	-0.010631445422978	0.00124067040290472
rough_171	-0.0193908146882512	0.00876391739320034
rough_172	-0.0151224645231446	-0.00609237778579177
rough_173	-0.0106635761762773	0.00845454518068406
rough_174	-0.0139688150895388	-0.0148891696350759
rough_175	-0.00654828507943714	-0.00451081033346054
rough_176	-0.0140764001607273	0.0116435788987453
rough_177	-0.0123262729508415	-0.00851539068657648
rough_178	0.00357882262415306	0.000267363941075017
rough_179	-0.0185889870575259	0.0104268657578932
rough_180	0.00417468858316444	0.00397515551988732
rough_181	-0.0116934920884297	-0.00752851746953766
rough_182	-0.0252531921971084	0.00972979203624371
rough_183	-0.0239210882395375	0.000729952695071033
rough_184	0.00587171893668243	0.013069883390637
rough_185	-0.0174407156321042	-0.0125445929477738
rough_186	-0.0246755551183219	0.00907821675151071
rough_187	-0.00688554639828688	-0.0054840152898853
rough_188	-0.0035248903753356	-0.00754536824546567
rough_189	-0.0242467012694229	-0.00481118537533303
rough_190	-0.0126737933528338	0.000808420621430303
rough_191	-0.0129994968869935	-0.000663856982009119
rough_192	-0.00162060572377554	0.00342489983654095
rough_193	-0.025559410166274	-0.00145591156538889
rough_194	-0.00931262007449738	0.00856038824967706
rough_195	0.00791348775258331	0.0124970057740267
rough_196	-0.0139819717004739	-0.00550342351943953
rough_197	-0.0232833490230425	0.00231340619576426
rough_198	-0.0201641381368545	0.008253698998851
rough_199	-0.0204541781932314	0.00108518580341312
rough_200	-0.0139944830102762	-0.0160865876199259
rough_201	-0.021474876987452	0.00781971461114006
rough_202	-0.026751283662201	0.00127402177341093
rough_203	-0.0189440155765875	0.0092229546730367
rough_204	-0.0114530244198165	0.0105319875544175
rough_205	-0.0140661537660843	0.0139086717809684
rough_206	-0.015754376150669	0.00117064682223877
rough_207	0.00525741263164643	0.00883697618469895
rough_208	-0.0199657025704526	0.0143418757800249
rough_209	-0.0218559814253688	0.0129657085763437
rough_210	0.00296868643274774	0.00816810649306177
rough_211	0.000912758393868347	0.00755143484597337
rough_212	0.00240145713384114	-0.00562988204093363
rough_213	-0.000784316111009744	0.00988059790329836
rough_214	-0.0176881499210126	0.014261291523368
rough_215	-0.0139863567672801	0.00936452530859807
rough_216	-0.0119690957035303	-0.00548106444100399
