reaction	linear_coefficient
rxn02201_c	0.05559701410658651
rxn02200_c	0.05559701410658651
rxn07841_c	0.05559701410658651
rxn07842_c	0.05559701410658651
rxn00836_c	0.04766084681650553
rxn00915_c	0.04766084681650553
rxn00345_c	0.015916221543144614
rxn00938_c	0.015916221543144614
rxn00390_c	0.015916221543144614
rxn00376_c	0.015916221543144614
rxn02230_c	0.007980054253063638
rxn02229_c	0.007980054253063638
rxn00423_c	0.007980054253063638
rxn00707_c	0.03178851223634358
rxn01219_c	0.03178851223634358
rxn00364_c	0.03178851223634358
rxn03933_c	0.03178851223634358
peptidoglycan_rxn	0.03178851223634358
rxn03408_c	0.03178851223634358
rxn00141_c	0.007980054253063638
rxn02177_c	0.007980054253063638
rxn09450_c	4.388696298266333e-05
rxn09449_c	4.388696298266333e-05
rxn09448_c	4.388696298266333e-05
rxn00988_c	4.388696298266333e-05
rxn05736_c	4.388696298266333e-05
rxn00947_c	4.388696298266333e-05
rxn03861_c	0.4127241910645265
rxn01452_c	0.4127241910645265
rxn00022_c	4.388696298266333e-05
rxn00575_c	4.388696298266333e-05
rxn01388_c	4.388696298266333e-05
rxn00974_c	4.388696298266333e-05
rxn00973_c	4.388696298266333e-05
rxn04031_c	4.388696298266333e-05
rxn00322_c	4.388696298266333e-05
rxn01231_c	4.388696298266333e-05
rxn00346_c	4.388696298266333e-05
rxn00405_c	4.388696298266333e-05
rxn00194_c	4.388696298266333e-05
rxn05458_c	0.14289476652355126
rxn05465_c	0.14289476652355126
rxn05451_c	0.14289476652355126
rxn05383_c	0.14289476652355126
rxn05452_c	0.14289476652355126
rxn05358_c	0.14289476652355126
rxn05456_c	0.14289476652355126
rxn05457_c	0.14289476652355126
rxn05459_c	0.14289476652355126
rxn05454_c	0.14289476652355126
rxn05453_c	0.14289476652355126
rxn05455_c	0.14289476652355126
rxn05408_c	0.14289476652355126
rxn10275_c	4.388696298266333e-05
rxn10276_c	4.388696298266333e-05
rxn10283_c	4.388696298266333e-05
rxn10285_c	4.388696298266333e-05
rxn10280_c	4.388696298266333e-05
rxn10286_c	4.388696298266333e-05
rxn10277_c	4.388696298266333e-05
rxn10288_c	4.388696298266333e-05
rxn10278_c	4.388696298266333e-05
rxn10281_c	4.388696298266333e-05
rxn10284_c	4.388696298266333e-05
rxn10279_c	4.388696298266333e-05
rxn10273_c	4.388696298266333e-05
rxn10287_c	4.388696298266333e-05
rxn10271_c	4.388696298266333e-05
rxn10272_c	4.388696298266333e-05
rxn10282_c	4.388696298266333e-05
rxn10274_c	4.388696298266333e-05
rxn00532_c	0.06353318139666748
rxn01643_c	0.06353318139666748
rxn07875_c	0.06353318139666748
rxn07876_c	0.06353318139666748
rxn04658_c	0.06353318139666748
rxn01851_c	0.06353318139666748
rxn04737_c	0.06353318139666748
rxn04271_c	0.06353318139666748
rxn03921_c	0.06353318139666748
rxn02687_c	0.06353318139666748
rxn03915_c	0.06353318139666748
rxn05127_c	0.06353318139666748
rxn04744_c	0.06353318139666748
rxn02107_c	0.06353318139666748
rxn05126_c	0.06353318139666748
rxn04723_c	0.06353318139666748
rxn03365_c	0.06353318139666748
rxn04727_c	0.06353318139666748
rxn04270_c	0.06353318139666748
rxn03366_c	0.06353318139666748
rxn03618_c	0.06353318139666748
rxn07885_c	0.06353318139666748
rxn05371_c	0.2857456460841199
rxn05363_c	0.2857456460841199
rxn05345_c	0.2857456460841199
rxn05404_c	0.2857456460841199
rxn05367_c	0.2857456460841199
rxn05350_c	0.2857456460841199
rxn05344_c	0.2857456460841199
rxn05425_c	0.2857456460841199
rxn05375_c	0.2857456460841199
rxn05384_c	0.2857456460841199
rxn05379_c	0.2857456460841199
rxn05409_c	0.2857456460841199
rxn05348_c	0.2857456460841199
rxn05460_c	0.2857456460841199
rxn05388_c	0.2857456460841199
rxn05396_c	0.2857456460841199
rxn05429_c	0.2857456460841199
rxn05346_c	0.2857456460841199
rxn05421_c	0.2857456460841199
rxn05392_c	0.2857456460841199
rxn05343_c	0.2857456460841199
rxn05400_c	0.2857456460841199
rxn05359_c	0.2857456460841199
rxn05413_c	0.2857456460841199
rxn05349_c	0.2857456460841199
rxn05417_c	0.2857456460841199
rxn05347_c	0.2857456460841199
rxn01799_c	0.007980054253063638
rxn01446_c	0.007980054253063638
rxn01358_c	0.007980054253063638
rxn01647_c	0.007980054253063638
rxn01649_c	0.007980054253063638
rxn01985_c	0.007980054253063638
rxn01548_c	0.007980054253063638
rxn01138_c	0.007980054253063638
rxn01859_c	0.007980054253063638
rxn01646_c	0.007980054253063638
rxn02168_c	0.3889156891942836
rxn00490_c	0.3889156891942836
rxn05958_c	0.039724679526424556
rxn00519_c	0.05559701410658651
rxn00305_c	0.05559701410658651
rxn12512_c	0.05559701410658651
rxn09177_c	0.05559701410658651
rxn02341_c	0.05559701410658651
rxn00258_c	0.015916221543144614
rxn00678_c	0.015916221543144614
rxn01018_c	0.015916221543144614
rxn00800_c	0.05559701410658651
rxn03136_c	0.05559701410658651
rxn00539_c	0.05559701410658651
rxn00211_c	0.07146930479978549
