reaction	linear_coefficient
rxn07841_c	0.008720037178236871
rxn02200_c	0.008720037178236871
rxn02201_c	0.008720037178236871
rxn07842_c	0.008720037178236871
rxn00345_c	0.03062616591206579
rxn00938_c	0.03062616591206579
rxn00376_c	0.03062616591206579
rxn00390_c	0.03062616591206579
rxn02229_c	0.2889864295228028
rxn02230_c	0.2889864295228028
rxn00423_c	0.00013371476907161556
rxn00364_c	0.056164977693365155
rxn01219_c	0.056164977693365155
rxn00707_c	0.056164977693365155
rxn03408_c	0.029525365044037827
rxn03933_c	0.029525365044037827
peptidoglycan_rxn	0.029525365044037827
rxn02177_c	0.05781619081393009
rxn00141_c	0.05781619081393009
rxn09450_c	0.6611704861887441
rxn05736_c	0.6611704861887441
rxn00988_c	0.6611704861887441
rxn09449_c	0.6611704861887441
rxn00947_c	0.6611704861887441
rxn09448_c	0.6611704861887441
rxn03861_c	0.0023353401421735225
rxn01452_c	0.0023353401421735225
rxn00575_c	0.010261172575703609
rxn00022_c	0.010261172575703609
rxn00973_c	0.031066500441504566
rxn01388_c	0.031066500441504566
rxn00974_c	0.031066500441504566
rxn04031_c	0.9531054717374088
rxn05465_c	0.017526515033598526
rxn05457_c	0.017526515033598526
rxn05454_c	0.017526515033598526
rxn05451_c	0.017526515033598526
rxn05459_c	0.017526515033598526
rxn05408_c	0.017526515033598526
rxn05458_c	0.017526515033598526
rxn05455_c	0.017526515033598526
rxn05383_c	0.017526515033598526
rxn05456_c	0.017526515033598526
rxn05453_c	0.017526515033598526
rxn05452_c	0.017526515033598526
rxn05358_c	0.017526515033598526
rxn10284_c	0.015985379636131787
rxn10279_c	0.015985379636131787
rxn10287_c	0.015985379636131787
rxn10277_c	0.015985379636131787
rxn10285_c	0.015985379636131787
rxn10271_c	0.015985379636131787
rxn10272_c	0.015985379636131787
rxn10274_c	0.015985379636131787
rxn10286_c	0.015985379636131787
rxn10281_c	0.015985379636131787
rxn10282_c	0.015985379636131787
rxn10280_c	0.015985379636131787
rxn10276_c	0.015985379636131787
rxn10275_c	0.015985379636131787
rxn10288_c	0.015985379636131787
rxn10273_c	0.015985379636131787
rxn10278_c	0.015985379636131787
rxn10283_c	0.015985379636131787
rxn03366_c	0.02666324969530075
rxn04271_c	0.02666324969530075
rxn03921_c	0.02666324969530075
rxn02107_c	0.02666324969530075
rxn04727_c	0.02666324969530075
rxn04658_c	0.02666324969530075
rxn00532_c	0.02666324969530075
rxn04270_c	0.02666324969530075
rxn02687_c	0.02666324969530075
rxn03915_c	0.02666324969530075
rxn07885_c	0.02666324969530075
rxn07876_c	0.02666324969530075
rxn03618_c	0.02666324969530075
rxn04744_c	0.02666324969530075
rxn05127_c	0.02666324969530075
rxn01643_c	0.02666324969530075
rxn04723_c	0.02666324969530075
rxn04737_c	0.02666324969530075
rxn05126_c	0.02666324969530075
rxn01851_c	0.02666324969530075
rxn03365_c	0.02666324969530075
rxn07875_c	0.02666324969530075
rxn05348_c	0.013783777900075855
rxn05359_c	0.013783777900075855
rxn05396_c	0.013783777900075855
rxn05375_c	0.013783777900075855
rxn05345_c	0.013783777900075855
rxn05367_c	0.013783777900075855
rxn05392_c	0.013783777900075855
rxn05409_c	0.013783777900075855
rxn05400_c	0.013783777900075855
rxn05347_c	0.013783777900075855
rxn05425_c	0.013783777900075855
rxn05349_c	0.013783777900075855
rxn05350_c	0.013783777900075855
rxn05344_c	0.013783777900075855
