patric	Smooth_1	Smooth_2
645463.3.peg.1000	3.82165605095541	3.60934182590234
645463.3.peg.1001	3.66013071895425	2.81045751633987
645463.3.peg.1002	3.4994068801898	2.55041518386714
645463.3.peg.1007	202.173913043478	222.282608695652
645463.3.peg.1016	3.64517488411294	4.29835651074589
645463.3.peg.1017	5.42635658914729	5.42635658914729
645463.3.peg.102	127.927927927928	137.687687687688
645463.3.peg.103	178.982597054886	209.303882195448
645463.3.peg.1032	35.240464344942	33.3333333333333
645463.3.peg.1037	72.0430107526882	68.0107526881721
645463.3.peg.1057	34.6618357487923	36.4734299516908
645463.3.peg.1070	8.45771144278607	8.54063018242123
645463.3.peg.1077	70.4022988505747	80.926724137931
645463.3.peg.1079	249.958228905597	255.388471177945
645463.3.peg.1084	44.6808510638298	50.8105369807497
645463.3.peg.1086	55.0998948475289	61.3564668769716
645463.3.peg.1089	65.0524616626312	74.1323648103309
645463.3.peg.1096	141.339375629406	136.883182275932
645463.3.peg.1110	51.1824324324324	55.7432432432432
645463.3.peg.1112	34.6998928188639	36.8971061093248
645463.3.peg.1125	34.8230912476723	35.5679702048417
645463.3.peg.1128	50.8525149190111	49.7442455242967
645463.3.peg.1129	49.0159901599016	51.7835178351784
645463.3.peg.1130	13.9821029082774	15.6599552572707
645463.3.peg.1176	1.27610208816705	1.50812064965197
645463.3.peg.118	4.51527224435591	4.05046480743692
645463.3.peg.119	81.8143459915612	86.6244725738397
645463.3.peg.1196	2101.33000831255	2184.28927680798
645463.3.peg.1199	36.7234848484849	39.375
645463.3.peg.120	97.4277210884354	102.763605442177
645463.3.peg.1218	29.4077134986226	32.4035812672176
645463.3.peg.1223	62.8015350877193	63.7883771929825
645463.3.peg.1233	104.838709677419	95.5913978494624
645463.3.peg.1240	56.6993464052288	59.4771241830065
645463.3.peg.1245	35.6884057971015	39.4021739130435
645463.3.peg.125	1128.21350762527	1213.07189542484
645463.3.peg.1250	35.1654846335697	31.3829787234043
645463.3.peg.1252	183.886583679115	190.076071922545
645463.3.peg.1256	71.380846325167	76.1692650334076
645463.3.peg.1257	1127.36006683375	1219.17293233083
645463.3.peg.1258	50.3154574132492	46.0567823343849
645463.3.peg.126	868.333333333333	962.453703703704
645463.3.peg.1262	63.0858346498157	64.9552395997894
645463.3.peg.1272	86.8004866180049	82.6034063260341
645463.3.peg.1304	24.9178172255095	28.1393819855358
645463.3.peg.1308	6.83060109289618	6.69398907103825
645463.3.peg.1309	13.677811550152	15.2988855116515
645463.3.peg.132	88.3084577114428	105.828002842928
645463.3.peg.1323	49.685534591195	45.2830188679245
645463.3.peg.1324	4.30327868852459	3.2103825136612
645463.3.peg.1330	8.00552104899931	9.14423740510697
