id	mda
rxn07124_c	13.6223114988629
EX_cpd00339_e	13.2238640495402
EX_cpd03170_e	12.7291661622634
ID008_c	11.8683526906539
rxn20606_c	11.7537557775531
rxn12566_c	11.6613732879185
EX_cpd00009_e	3.50573935493123
rxn05655_c	3.49303599804711
rxn00293_c	3.49271788428091
rxn05313_c	3.15441758412841
rxn14152_c	2.85538500393147
R01174_1_c	2.80035885985461
rxn00704_c	2.67548283394659
rxn00804_c	2.64479250233524
EX_cpd00076_e	2.5132400594267
EX_cpd00107_e	2.37994617413192
rxn00553_c	2.32878275650133
rxn00747_c	2.08758560967624
rxn00119_c	1.87588273968337
ID001_c	1.84266832832617
rxn00213_c	1.8035456727502
EX_cpd05178_e	1.76886247970784
rxn05243_c	1.61334393961927
rxn00785_c	1.35836060321107
rxn01116_c	1.35239485290073
