reaction_id	substrate	smooth	rough
EX_cpd00589_e	D-Tagatose	NA	NA
EX_cpd27607_e	N-Acetyl-D-Galactosamine	NA	NA
EX_cpd00731_e	Ala-ala	NA	NA
EX_cpd00072_e	D-fructose-6-phosphate	NA	NA
EX_cpd00089_e	Glucose-1-phosphate	NA	NA
EX_cpd00079_e	D-glucose-6-phosphate	NA	NA
EX_cpd00108_e	Galactose	NA	NA
EX_cpd00136_e	4-Hydroxybenzoate	NA	NA
EX_cpd03561_e	2-Hydroxybutyrate	NA	NA
EX_cpd00106_e	Fumarate	NA	NA
EX_cpd00142_e	Acetoacetate	NA	NA
EX_cpd00383_e	Shikimate	NA	NA
EX_cpd00047_e	Formate	795.277	747.081
EX_cpd00139_e	Glycolate	NA	NA
EX_cpd00281_e	GABA	NA	NA
EX_cpd00165_e	Hydroxylamine	NA	NA
EX_cpd03279_e	Deoxyinosine	-586.514	-628.252
EX_cpd00246_e	Inosine	-581.17	-690.102
EX_cpd00311_e	Guanosine	-384.523	-176.063
EX_cpd00367_e	Cytidine	NA	NA
EX_cpd00277_e	Deoxyguanosine	-474.136	-664.377
EX_cpd00182_e	Adenosine	189.808	NA
EX_cpd00654_e	Deoxycytidine	-2.518	-2.41
EX_cpd00412_e	Deoxyuridine	-14.742	-14.11
EX_cpd00438_e	Deoxyadenosine	281.681	595.628
EX_cpd00274_e	Citrulline	NA	NA
EX_cpd00186_e	D-Glutamate	-63.536	-45.909
EX_cpd00424_e	Cystathionine	-4.317	NA
EX_cpd00504_e	LL-2,6-Diaminopimelate	NA	NA
EX_cpd00155_e	Glycogen	NA	NA
EX_cpd00042_e	Glutathione	NA	NA
EX_cpd00085_e	beta-Alanine	NA	NA
EX_cpd00152_e	Agmatine	381.037	347.388
EX_cpd00100_e	Glycerol	NA	NA
EX_cpd00098_e	Choline	NA	NA
EX_cpd00207_e	Guanine	854.448	836.41
EX_cpd11574_e	Molybdate	NA	NA
EX_cpd04097_e	Lead	NA	NA
EX_cpd01012_e	Cadmium 2+	NA	NA
EX_cpd00531_e	Mercury 2+	NA	NA
EX_cpd00058_e	Copper 2+	NA	NA
