gene	gnotobiotic
272563.8.peg.2865	1.4193
272563.8.peg.2866	45.2461
272563.8.peg.2867	3.8005
272563.8.peg.2871	1.4946
272563.8.peg.2872	4.2885
272563.8.peg.2882	23.526
272563.8.peg.2888	1.5152
272563.8.peg.2889	0.2326
272563.8.peg.2898	1.929
272563.8.peg.2899	1.0624
272563.8.peg.2901	1.8
272563.8.peg.2906	0.9777
272563.8.peg.2907	0.9373
272563.8.peg.2910	4.0757
272563.8.peg.2911	5.679
272563.8.peg.2913	0.507
272563.8.peg.2916	2.4823
272563.8.peg.2918	6.2767
272563.8.peg.2921	0.8192
272563.8.peg.2922	1.0965
272563.8.peg.2923	1.8873
272563.8.peg.2926	0.1055
272563.8.peg.2940	0.0561
272563.8.peg.2946	0.2976
272563.8.peg.2955	0.084
272563.8.peg.2961	2.6847
272563.8.peg.2962	0
272563.8.peg.2968	2.0047
272563.8.peg.2977	0.5495
272563.8.peg.2980	8.8773
272563.8.peg.2981	7.9538
272563.8.peg.2983	1.4274
272563.8.peg.2988	0.0936
272563.8.peg.294	0.4863
272563.8.peg.2999	0.1072
272563.8.peg.3000	0.1812
272563.8.peg.3001	0
272563.8.peg.3009	0.9434
272563.8.peg.3011	1.1823
272563.8.peg.295	3.0792
272563.8.peg.3012	0.4186
272563.8.peg.3013	1.4423
272563.8.peg.3024	0.0613
272563.8.peg.3083	0.1199
272563.8.peg.3111	20.5461
272563.8.peg.3114	0.1796
272563.8.peg.3115	0.2639
272563.8.peg.3116	0.1832
272563.8.peg.304	0
272563.8.peg.3130	0
272563.8.peg.305	0
272563.8.peg.3134	0.1138
272563.8.peg.3135	0.1277
272563.8.peg.3138	8.3848
272563.8.peg.3139	0.9286
272563.8.peg.307	0
272563.8.peg.308	0
272563.8.peg.3146	26.0982
272563.8.peg.3147	30.8824
272563.8.peg.3148	21.2308
272563.8.peg.3150	76.7888
272563.8.peg.309	0.0579
272563.8.peg.3153	0.396
272563.8.peg.3156	0.2307
272563.8.peg.3171	0.4246
272563.8.peg.3174	0.0317
272563.8.peg.3176	0.0392
272563.8.peg.3177	0.1572
272563.8.peg.3192	0
272563.8.peg.3202	0.1068
272563.8.peg.3204	0
272563.8.peg.3208	1.9058
272563.8.peg.3209	0.4531
272563.8.peg.3218	7.069
272563.8.peg.3223	0.0348
272563.8.peg.3224	0
272563.8.peg.3225	0.0811
272563.8.peg.318	0.1022
272563.8.peg.3226	0
272563.8.peg.3228	0.5195
272563.8.peg.3229	0.0191
272563.8.peg.3235	16.9065
272563.8.peg.3239	0.2092
272563.8.peg.3240	0.1754
272563.8.peg.320	0
272563.8.peg.3241	0.1043
272563.8.peg.3244	2.4784
272563.8.peg.3245	0.121
272563.8.peg.321	0
272563.8.peg.3247	0.4065
272563.8.peg.3249	0.5642
272563.8.peg.3250	0.3115
272563.8.peg.3253	0
272563.8.peg.322	0.1653
272563.8.peg.3259	0.4811
272563.8.peg.3260	0.0801
272563.8.peg.323	0
272563.8.peg.3269	0.2451
272563.8.peg.3270	0.2074
272563.8.peg.3272	0.1784
272563.8.peg.3273	0
272563.8.peg.3275	0.0345
272563.8.peg.3279	0.0264
272563.8.peg.3281	2.0572
272563.8.peg.3282	1.1944
272563.8.peg.3321	759.4354
272563.8.peg.3322	11.6667
272563.8.peg.330	1.5775
272563.8.peg.3323	13.172
272563.8.peg.3324	40.6068
272563.8.peg.3325	235.5159
272563.8.peg.3328	0.0781
272563.8.peg.3329	0.0718
272563.8.peg.3332	0.1129
272563.8.peg.3333	0.6944
272563.8.peg.3343	0.7864
272563.8.peg.3375	0.8794
272563.8.peg.3377	2.8443
272563.8.peg.3380	27.7545
272563.8.peg.3384	4.2593
272563.8.peg.3388	3.6164
272563.8.peg.3390	42.6091
272563.8.peg.3392	14.3162
272563.8.peg.3393	14.7563
272563.8.peg.3394	329.0634
272563.8.peg.3396	69.4312
272563.8.peg.3406	2.04
272563.8.peg.3409	15.1481
272563.8.peg.3414	1.5033
272563.8.peg.3415	0.1212
272563.8.peg.3416	0
272563.8.peg.3421	1.3642
272563.8.peg.3425	1.1765
272563.8.peg.3427	2.0031
272563.8.peg.3429	0.0624
272563.8.peg.3430	0.2525
272563.8.peg.3431	0
272563.8.peg.3432	0
272563.8.peg.3434	9.6393
272563.8.peg.3435	33.3333
272563.8.peg.3436	2.4752
272563.8.peg.3438	6.4074
272563.8.peg.3439	4.4199
272563.8.peg.3464	0.639
272563.8.peg.3472	0.676
272563.8.peg.3510	0.2472
272563.8.peg.348	6.9536
272563.8.peg.3557	49.1482
272563.8.peg.3558	7.9688
272563.8.peg.3559	2.451
272563.8.peg.3565	0.6011
272563.8.peg.3578	0.4065
272563.8.peg.3580	0.0467
272563.8.peg.3582	15.3727
272563.8.peg.3583	2.8333
272563.8.peg.3584	1.4349
272563.8.peg.3585	1.6903
272563.8.peg.3588	0.7576
272563.8.peg.3591	1.0673
272563.8.peg.353	4.753
272563.8.peg.3595	0.6536
272563.8.peg.3596	0.4115
272563.8.peg.3598	0.7921
272563.8.peg.3600	0.7752
272563.8.peg.3601	1.6934
272563.8.peg.3602	0.9074
272563.8.peg.3606	0
272563.8.peg.3613	0.5869
272563.8.peg.3616	0.1613
272563.8.peg.354	0.5108
272563.8.peg.3621	0.1754
272563.8.peg.3624	4.724
272563.8.peg.3625	6.7029
272563.8.peg.3628	3.3247
272563.8.peg.3632	6.705
272563.8.peg.3633	39.8566
272563.8.peg.3634	5.5745
272563.8.peg.3635	9.7139
272563.8.peg.3636	3.8462
272563.8.peg.3640	3.23
272563.8.peg.3641	1.0965
272563.8.peg.3642	1.2557
272563.8.peg.3645	6.0317
272563.8.peg.3653	16.9154
272563.8.peg.3656	1.3975
272563.8.peg.3664	47.6703
272563.8.peg.3682	265.142
272563.8.peg.3683	2.2101
272563.8.peg.3708	27.3736
272563.8.peg.3711	2.4808
272563.8.peg.3717	0.8013
272563.8.peg.3718	0.2899
272563.8.peg.13	28.9169
272563.8.peg.3722	72.9085
272563.8.peg.3725	6.2905
272563.8.peg.3728	0.0511
272563.8.peg.3730	2.8078
272563.8.peg.3732	6.4436
272563.8.peg.3736	1.8519
272563.8.peg.3759	11.6152
272563.8.peg.3760	3.4762
272563.8.peg.3761	8.4659
272563.8.peg.3762	1.4368
272563.8.peg.3763	1.4644
272563.8.peg.3768	0.6087
272563.8.peg.3769	0.4132
272563.8.peg.3770	0.8772
272563.8.peg.365	7.8106
272563.8.peg.3777	0.1536
272563.8.peg.3799	0.079
272563.8.peg.3804	0.2395
272563.8.peg.3805	0.1916
272563.8.peg.3820	0.2688
272563.8.peg.3822	1.1006
272563.8.peg.3823	0
272563.8.peg.3825	0.2853
272563.8.peg.3830	32.907
272563.8.peg.3833	4.3333
272563.8.peg.3837	654.8246
272563.8.peg.3838	79.6552
272563.8.peg.3839	43.3692
272563.8.peg.3846	1.6623
272563.8.peg.3857	15.2174
272563.8.peg.3858	29.7101
272563.8.peg.408	0.5636
272563.8.peg.409	0.2727
272563.8.peg.411	0.0631
272563.8.peg.414	3.8038
272563.8.peg.423	16.1273
272563.8.peg.425	2.0747
272563.8.peg.466	0.0468
272563.8.peg.472	0
272563.8.peg.473	0.0703
272563.8.peg.476	0.2439
272563.8.peg.42	0.0607
272563.8.peg.43	0
272563.8.peg.493	0.1333
272563.8.peg.513	1.909
272563.8.peg.514	0.095
272563.8.peg.515	0.1225
272563.8.peg.516	0
272563.8.peg.517	0
272563.8.peg.518	0.119
272563.8.peg.45	0.2077
272563.8.peg.46	0.2533
272563.8.peg.47	0.3343
272563.8.peg.14	27.2765
272563.8.peg.48	0.1444
272563.8.peg.570	0.7576
272563.8.peg.585	0.3763
272563.8.peg.50	0
272563.8.peg.51	0
272563.8.peg.52	0
272563.8.peg.601	33.75
272563.8.peg.610	0.0974
272563.8.peg.55	0.2144
272563.8.peg.618	0.1803
272563.8.peg.620	0.0935
272563.8.peg.56	0.2801
272563.8.peg.57	0.823
272563.8.peg.636	0.1684
272563.8.peg.60	9.413
272563.8.peg.62	14.628
272563.8.peg.721	23.3333
272563.8.peg.722	439.2157
272563.8.peg.724	0.2336
272563.8.peg.725	0.0787
272563.8.peg.734	5.8824
272563.8.peg.735	5.9106
272563.8.peg.69	72.6667
272563.8.peg.73	1068.3834
272563.8.peg.746	3.7331
272563.8.peg.74	607.3964
272563.8.peg.755	18.1574
272563.8.peg.756	4.2654
272563.8.peg.757	1.6037
272563.8.peg.759	9.5805
272563.8.peg.760	1.4791
272563.8.peg.766	10.7143
272563.8.peg.770	0.3676
272563.8.peg.774	2.5641
272563.8.peg.77	224.092
272563.8.peg.778	0.1637
272563.8.peg.795	0.6803
272563.8.peg.796	99.2832
272563.8.peg.801	0
272563.8.peg.804	0
272563.8.peg.805	0.1292
272563.8.peg.78	232.7883
272563.8.peg.818	1.8931
272563.8.peg.821	0.791
272563.8.peg.831	0.7937
272563.8.peg.837	0.0629
272563.8.peg.838	0
272563.8.peg.79	1737.7934
272563.8.peg.80	194.4798
272563.8.peg.854	0.8056
272563.8.peg.856	2.1677
CD630_12590	0.3094
CD630_07500	0.1838
CD630_10040	0.0911
CD630_10030	0.5357
CD630_23710	0.1536
CD630_01790	4.8578
CD630_12250	0.261
CD630_24170	0.0493
CD630_24180	0
CD630_10100	0.8377
CD630_22770	0.0772
CD630_00450	0
CD630_35150	2.1739
CD630_30140	0
CD630_30150	0
CD630_30130	0.1344
CD630_08760	0.8671
CD630_08730	31.0362
CD630_06820	0.0313
CD630_17760	0.372
CD630_01120	1.8272
CD630_21990	0.7143
CD630_21991	0.6329
CD630_01540	0.5814
CD630_01530	0.4061
CD630_23800	9.0278
CD630_32440	71.3184
CD630_23540	36.3636
CD630_03940	3.2032
CD630_03980	31.2057
CD630_03970	31.7441
CD630_03950	9.0417
CD630_03960	8.1773
CD630_01550	0.3155
CD630_21960	0.0714
CD630_23420	0.2514
CD630_23410	0.2004
CD630_10540	11.1258
CD630_23390	0.0382
CD630_26550	1.8923
CD630_02440	3.8384
CD630_26510	2.8862
T4BV06_CLODI	0
CD630_25690	0.056
CD630_14930	0.3284
CD630_32370_2	43.6012
CD630_32370_1	41.121
K00529	0
