gene	gnotobiotic
CD630_23310	1.5
CD630_07680	1.5
272563.8.peg.9	4.0909
272563.8.peg.866	0.104
272563.8.peg.871	0.4413
272563.8.peg.872	0.251
272563.8.peg.879	0.8078
272563.8.peg.83	562.3397
272563.8.peg.84	357.5397
272563.8.peg.893	8.3811
272563.8.peg.894	4.2885
272563.8.peg.895	3.6232
272563.8.peg.896	3.8278
272563.8.peg.85	261.1378
272563.8.peg.901	0.0388
272563.8.peg.902	0
272563.8.peg.903	0.1881
272563.8.peg.86	257.9038
272563.8.peg.907	0.6452
272563.8.peg.87	596.1492
272563.8.peg.911	0.1792
272563.8.peg.88	679.7872
272563.8.peg.89	637.3512
272563.8.peg.90	412.5613
272563.8.peg.921	0.3876
272563.8.peg.922	0.1326
272563.8.peg.923	1.5593
272563.8.peg.924	1.012
272563.8.peg.91	307.7546
272563.8.peg.927	0.1355
272563.8.peg.928	2.0531
272563.8.peg.929	0.7629
272563.8.peg.930	0.9101
272563.8.peg.92	179.4118
272563.8.peg.93	28.4314
272563.8.peg.94	795.393
272563.8.peg.95	482.8479
272563.8.peg.96	118.0479
272563.8.peg.97	354.0323
272563.8.peg.98	825.4386
272563.8.peg.99	546.4088
272563.8.peg.100	442.6829
272563.8.peg.101	361.5686
272563.8.peg.102	182.7957
272563.8.peg.103	124.5495
272563.8.peg.105	189.4777
272563.8.peg.1023	0
272563.8.peg.106	32.3293
272563.8.peg.1034	0
272563.8.peg.109	39.0351
272563.8.peg.1040	0.0861
272563.8.peg.1041	0.1956
272563.8.peg.110	279.9731
272563.8.peg.1042	0.1016
272563.8.peg.1043	0.0467
272563.8.peg.1045	1.3928
272563.8.peg.111	794.2356
272563.8.peg.1046	1.0085
272563.8.peg.112	919.7917
272563.8.peg.113	344.2511
272563.8.peg.1052	0.0715
272563.8.peg.1054	0.7143
272563.8.peg.1055	0.2732
272563.8.peg.1056	2.1997
272563.8.peg.1062	0.9333
272563.8.peg.114	1334.0643
272563.8.peg.1085	0.4889
272563.8.peg.1086	0.0513
272563.8.peg.1087	2.0555
272563.8.peg.1088	1.4655
272563.8.peg.119	350.1157
272563.8.peg.120	1305.4707
272563.8.peg.121	1.773
272563.8.peg.1099	1.0921
272563.8.peg.1101	1.7478
272563.8.peg.1109	8.8346
272563.8.peg.1110	7.2695
272563.8.peg.1111	10.6293
272563.8.peg.1124	0.4841
272563.8.peg.1128	0.1217
272563.8.peg.1130	0.7431
272563.8.peg.1131	0.1318
272563.8.peg.1132	0.1186
272563.8.peg.1137	0.7246
272563.8.peg.1175	0.5478
272563.8.peg.1176	0.2769
272563.8.peg.1186	0.1658
272563.8.peg.1191	0.8065
272563.8.peg.1211	5.1932
272563.8.peg.1219	223.7179
272563.8.peg.1221	1363.5739
272563.8.peg.1224	0.2073
272563.8.peg.122	5.3165
272563.8.peg.1231	0.467
272563.8.peg.1233	229.4069
272563.8.peg.1235	580.226
272563.8.peg.1238	3.5968
272563.8.peg.123	8.2696
272563.8.peg.1240	2.5762
272563.8.peg.1243	16.4649
272563.8.peg.1250	1.4854
272563.8.peg.1264	5.6869
272563.8.peg.1266	1.8221
272563.8.peg.1279	1.3035
272563.8.peg.1282	1.2788
272563.8.peg.1283	1.722
272563.8.peg.1284	0.0754
272563.8.peg.1312	1.1252
272563.8.peg.1314	1.6737
272563.8.peg.1318	144.3223
272563.8.peg.1322	873.3618
272563.8.peg.1339	14.4157
272563.8.peg.1344	2.9732
272563.8.peg.1347	4.4697
272563.8.peg.1360	1.7361
272563.8.peg.1361	1.8519
272563.8.peg.1365	0.3788
272563.8.peg.1370	5.2906
272563.8.peg.1373	21.7316
272563.8.peg.1382	2.7419
272563.8.peg.1383	240.6977
272563.8.peg.1389	2.7369
272563.8.peg.1394	1.4733
272563.8.peg.1399	1.9394
272563.8.peg.1401	45.9889
272563.8.peg.1403	0.6337
272563.8.peg.1405	0.3712
272563.8.peg.1406	12.9073
272563.8.peg.1407	0.6309
272563.8.peg.1411	3.8968
272563.8.peg.10	10.5691
272563.8.peg.128	1.3843
272563.8.peg.1421	0.5474
272563.8.peg.129	7.4537
272563.8.peg.1453	1.0891
272563.8.peg.1457	0.2155
272563.8.peg.1458	0.4559
272563.8.peg.135	6.1618
272563.8.peg.1472	0.6289
272563.8.peg.1473	0
272563.8.peg.1479	0.3106
272563.8.peg.1481	0.6364
272563.8.peg.1498	0
272563.8.peg.1517	0.4274
272563.8.peg.1518	1.963
272563.8.peg.1519	0.2688
272563.8.peg.1521	1.4834
272563.8.peg.1522	1.3258
272563.8.peg.1523	1.776
272563.8.peg.1524	1.8738
272563.8.peg.139	22.488
272563.8.peg.1525	2.7354
272563.8.peg.1527	24.4216
272563.8.peg.1551	0.1623
272563.8.peg.1554	0.0649
272563.8.peg.1555	0.3415
272563.8.peg.1556	0.9063
272563.8.peg.1562	0.3805
272563.8.peg.1563	1.3889
272563.8.peg.1567	5.0373
272563.8.peg.1570	7.3446
272563.8.peg.1574	1.0606
272563.8.peg.146	31.4908
272563.8.peg.1586	1.0012
272563.8.peg.1587	0.9058
272563.8.peg.1593	1.7445
272563.8.peg.1597	3.5567
272563.8.peg.1602	1.2243
272563.8.peg.1610	0.3408
272563.8.peg.22	45.5582
272563.8.peg.1623	0.4233
272563.8.peg.1625	0.8571
272563.8.peg.1626	1.3817
272563.8.peg.1628	0.8299
272563.8.peg.1629	0.6588
272563.8.peg.1630	1.3453
272563.8.peg.1641	0.1776
272563.8.peg.1645	0
272563.8.peg.1647	0.5556
272563.8.peg.1652	3.6514
272563.8.peg.151	5.5016
272563.8.peg.152	0.7645
272563.8.peg.1655	0.1642
272563.8.peg.153	1.1236
272563.8.peg.1657	0.5924
272563.8.peg.1667	0.0298
272563.8.peg.1668	0.243
272563.8.peg.1669	0.4785
272563.8.peg.1670	0.33
272563.8.peg.1671	0.0846
272563.8.peg.1673	1.2644
272563.8.peg.1676	0.0629
272563.8.peg.1677	0
272563.8.peg.1678	0.5529
272563.8.peg.1679	0.495
272563.8.peg.1708	0.0709
272563.8.peg.1714	3.4964
272563.8.peg.1724	0
272563.8.peg.1725	0.1045
272563.8.peg.1726	0
272563.8.peg.1727	0.0518
272563.8.peg.1730	0.8145
272563.8.peg.1731	0.6079
272563.8.peg.1732	0.625
272563.8.peg.1734	0.1212
272563.8.peg.1735	0.0343
272563.8.peg.1740	1.2972
272563.8.peg.1743	0.0271
272563.8.peg.1744	0.565
272563.8.peg.1768	9.7484
272563.8.peg.1769	5.0626
272563.8.peg.1774	3.0864
272563.8.peg.1775	3.1385
272563.8.peg.164	7.3432
272563.8.peg.1776	2.5126
272563.8.peg.1777	1.1261
272563.8.peg.1778	1.3028
272563.8.peg.1781	0.5128
272563.8.peg.1782	0.1866
272563.8.peg.1786	0.7527
272563.8.peg.1796	1.4341
272563.8.peg.1810	0.7407
272563.8.peg.1815	0.3912
272563.8.peg.1830	0
272563.8.peg.1831	0.7576
272563.8.peg.1842	0
272563.8.peg.1852	1.9704
272563.8.peg.1855	1.5241
272563.8.peg.24	2.5031
272563.8.peg.1873	0.75
272563.8.peg.1881	1.5152
272563.8.peg.1886	0.5821
272563.8.peg.1895	0.2572
272563.8.peg.1897	0.165
272563.8.peg.1904	2.8816
272563.8.peg.1906	1.3057
272563.8.peg.1908	1.3095
272563.8.peg.1910	0.2778
272563.8.peg.1912	0.4733
272563.8.peg.1916	0.5924
272563.8.peg.1917	0.4489
272563.8.peg.1922	0.3135
272563.8.peg.1923	2.1696
272563.8.peg.1924	1.6901
272563.8.peg.1925	1.7504
272563.8.peg.1926	1.4352
272563.8.peg.1927	1.462
272563.8.peg.1928	2.4074
272563.8.peg.1929	1.03
272563.8.peg.1930	1.5476
272563.8.peg.1993	0.5703
272563.8.peg.1994	0
272563.8.peg.2009	7.9487
272563.8.peg.2010	9.4104
272563.8.peg.2013	10.6122
272563.8.peg.2020	5.174
272563.8.peg.2022	0
272563.8.peg.2032	2.0635
272563.8.peg.2033	1.2865
272563.8.peg.2034	1.9457
272563.8.peg.2035	2.3179
272563.8.peg.2071	0.7886
272563.8.peg.2085	0.3623
272563.8.peg.2117	0.0604
272563.8.peg.194	2.3207
272563.8.peg.195	2.1597
272563.8.peg.2133	1.0014
272563.8.peg.2135	0.0978
272563.8.peg.2136	0
272563.8.peg.2137	0.0581
272563.8.peg.196	1.5152
272563.8.peg.2138	0
272563.8.peg.2139	0.0966
272563.8.peg.2144	0.0801
272563.8.peg.2156	0.9763
272563.8.peg.2160	0.6961
272563.8.peg.2161	0.2931
272563.8.peg.198	3.7125
272563.8.peg.2181	0.1258
272563.8.peg.2182	0
272563.8.peg.2183	0.4604
272563.8.peg.2187	0
272563.8.peg.2188	0.4474
272563.8.peg.2189	0
272563.8.peg.2190	0
272563.8.peg.2194	0.1128
272563.8.peg.2195	0.1062
272563.8.peg.2197	0.0734
272563.8.peg.2198	0
272563.8.peg.202	15.7438
272563.8.peg.2215	2.6144
272563.8.peg.2218	4
272563.8.peg.2223	0.7194
272563.8.peg.2227	0.5501
272563.8.peg.2229	0.4049
272563.8.peg.205	11.7094
272563.8.peg.2230	0.4474
272563.8.peg.206	0.1618
272563.8.peg.2243	5.4113
272563.8.peg.2247	5.3846
272563.8.peg.2248	3.3333
272563.8.peg.2253	1343.4174
272563.8.peg.2278	0.7224
272563.8.peg.2282	0.1569
272563.8.peg.2286	6.8738
272563.8.peg.2299	0.2762
272563.8.peg.2302	0.1119
272563.8.peg.2303	0.2843
272563.8.peg.2304	0.0734
272563.8.peg.2306	0.1217
272563.8.peg.2315	0.0906
272563.8.peg.2316	0
272563.8.peg.2321	0.4029
272563.8.peg.2333	0.5208
272563.8.peg.217	4.454
272563.8.peg.2351	0.4505
272563.8.peg.2355	110.5442
272563.8.peg.2356	5.2083
272563.8.peg.2360	45.1359
272563.8.peg.2369	0.2169
272563.8.peg.2370	0
272563.8.peg.2383	3.4635
272563.8.peg.2384	0.1634
272563.8.peg.2392	0
272563.8.peg.2393	0
272563.8.peg.2394	0
272563.8.peg.2395	0
272563.8.peg.2396	0
272563.8.peg.2400	0.469
272563.8.peg.2436	0.976
272563.8.peg.2438	5.4289
272563.8.peg.2439	5.2891
272563.8.peg.2440	0
272563.8.peg.2441	0.0475
272563.8.peg.2442	0.1569
272563.8.peg.2443	0
272563.8.peg.2444	0.1089
272563.8.peg.2446	3.9171
272563.8.peg.2447	1.1344
272563.8.peg.2448	8.3767
272563.8.peg.2449	10.6383
272563.8.peg.2450	3.8849
272563.8.peg.2451	4.6316
272563.8.peg.2452	5.2667
272563.8.peg.224	0
272563.8.peg.2455	0.2234
272563.8.peg.2456	0.0765
272563.8.peg.2458	0.0334
272563.8.peg.225	0
272563.8.peg.2464	0.0926
272563.8.peg.226	0
272563.8.peg.2470	8.805
272563.8.peg.2471	2.1097
272563.8.peg.2482	4.7161
272563.8.peg.2487	0.4182
272563.8.peg.2488	0.1536
272563.8.peg.2489	0.4918
272563.8.peg.2496	0.9804
272563.8.peg.2499	0.1984
272563.8.peg.229	0.7576
272563.8.peg.2520	5.9194
272563.8.peg.2521	1.2731
272563.8.peg.2528	4.6994
272563.8.peg.2531	0.0387
272563.8.peg.2532	0
272563.8.peg.2536	0
272563.8.peg.2550	0.2261
272563.8.peg.2551	6.5796
272563.8.peg.2552	41.6951
272563.8.peg.2558	1.4925
272563.8.peg.2559	0.2778
272563.8.peg.2567	332.7778
272563.8.peg.2568	0.9972
272563.8.peg.237	2.1459
272563.8.peg.238	2.1564
272563.8.peg.239	1.0214
272563.8.peg.2586	0.085
272563.8.peg.2588	0.3363
272563.8.peg.240	2.0202
272563.8.peg.2595	455.4307
272563.8.peg.2596	1.5805
272563.8.peg.241	2.3483
272563.8.peg.2606	0.2969
272563.8.peg.2607	0.939
272563.8.peg.2613	1.5344
272563.8.peg.242	2.2382
272563.8.peg.2617	0.7163
272563.8.peg.2622	0.4556
272563.8.peg.243	2.4429
272563.8.peg.2624	1.1775
272563.8.peg.2631	0.0739
272563.8.peg.2632	0.0322
272563.8.peg.2634	0
272563.8.peg.2636	65.353
272563.8.peg.2638	4.4177
272563.8.peg.2644	20.2602
272563.8.peg.2647	2.7536
272563.8.peg.2660	0.19
272563.8.peg.2663	0.5243
272563.8.peg.2680	1.4056
272563.8.peg.2685	211.3757
272563.8.peg.2693	0.0747
272563.8.peg.2697	0
272563.8.peg.2698	3.1153
272563.8.peg.2699	5.878
272563.8.peg.2708	3.172
272563.8.peg.2709	21.6553
272563.8.peg.2710	0.9237
272563.8.peg.2711	3.0833
272563.8.peg.2713	1.9417
272563.8.peg.2715	1.3839
272563.8.peg.2716	1.0145
272563.8.peg.2719	3.6716
272563.8.peg.2720	1.1236
272563.8.peg.2721	3.9474
272563.8.peg.2733	4.1417
272563.8.peg.2734	2.432
272563.8.peg.2736	14.5311
272563.8.peg.2741	26.0026
272563.8.peg.2754	4.8039
272563.8.peg.2775	2.608
272563.8.peg.2777	1.2168
272563.8.peg.2778	1.1387
272563.8.peg.2790	0.4065
272563.8.peg.2791	0.0954
272563.8.peg.2793	3.6466
272563.8.peg.2794	4.321
272563.8.peg.2795	2.0961
272563.8.peg.2796	11.6026
272563.8.peg.2798	1.23
272563.8.peg.2800	0.0424
272563.8.peg.2803	0.1287
272563.8.peg.2804	0.0375
272563.8.peg.2806	150.4802
272563.8.peg.2816	15.0568
272563.8.peg.2818	11.0835
272563.8.peg.2820	3.2435
272563.8.peg.2821	0.7557
272563.8.peg.2829	3.3482
272563.8.peg.2830	1.8681
272563.8.peg.2833	0.1736
272563.8.peg.2839	2.9093
272563.8.peg.2840	11.4286
272563.8.peg.2852	0.3643
272563.8.peg.2853	17.5904
272563.8.peg.2860	0.1714
272563.8.peg.2861	0.0693
272563.8.peg.2862	0.4202
