gene	streptomycin
272563.8.peg.2713	3
272563.8.peg.2715	2
272563.8.peg.2716	8
272563.8.peg.2719	0
272563.8.peg.2720	2
272563.8.peg.2721	0
272563.8.peg.2733	1
272563.8.peg.2734	0
272563.8.peg.2736	34
272563.8.peg.2741	14
272563.8.peg.2754	7
272563.8.peg.2775	12
272563.8.peg.2777	6
272563.8.peg.2778	2
272563.8.peg.2790	0
272563.8.peg.2791	0
272563.8.peg.2793	4
272563.8.peg.2794	1
272563.8.peg.2795	0
272563.8.peg.2796	6
272563.8.peg.2798	1
272563.8.peg.2800	1
272563.8.peg.2803	0
272563.8.peg.2804	0
272563.8.peg.2806	107
272563.8.peg.2816	0
272563.8.peg.2818	32
272563.8.peg.2820	0
272563.8.peg.2821	2
272563.8.peg.2829	0
272563.8.peg.2830	1
272563.8.peg.2833	0
272563.8.peg.2839	1
272563.8.peg.2840	1
272563.8.peg.2852	1
272563.8.peg.2853	6
272563.8.peg.2860	0
272563.8.peg.2861	0
272563.8.peg.2862	1
272563.8.peg.2865	1
272563.8.peg.2866	5
272563.8.peg.2867	3
272563.8.peg.2871	2
272563.8.peg.2872	5
272563.8.peg.2882	8
272563.8.peg.2888	6
272563.8.peg.2889	0
272563.8.peg.2898	2
272563.8.peg.2899	0
272563.8.peg.2901	1
272563.8.peg.2906	0
272563.8.peg.2907	1
272563.8.peg.2910	11
272563.8.peg.2911	2
272563.8.peg.2913	2
272563.8.peg.2916	16
272563.8.peg.2918	24
272563.8.peg.2921	1
272563.8.peg.2922	5
272563.8.peg.2923	1
272563.8.peg.2926	0
272563.8.peg.2940	0
272563.8.peg.294	2
272563.8.peg.2946	0
272563.8.peg.2955	6
272563.8.peg.295	2
272563.8.peg.2961	5
272563.8.peg.2962	0
272563.8.peg.2968	2
272563.8.peg.2977	0
272563.8.peg.2980	1
272563.8.peg.2981	3
272563.8.peg.2983	4
272563.8.peg.2988	0
272563.8.peg.2999	0
272563.8.peg.3000	2
272563.8.peg.3001	2
272563.8.peg.3009	3
272563.8.peg.3011	6
272563.8.peg.3012	4
272563.8.peg.3013	3
272563.8.peg.3024	0
272563.8.peg.304	0
272563.8.peg.305	0
272563.8.peg.307	1
272563.8.peg.3083	0
272563.8.peg.308	1
272563.8.peg.309	0
272563.8.peg.3111	148
272563.8.peg.3114	0
272563.8.peg.3115	0
272563.8.peg.3116	0
272563.8.peg.3130	2
272563.8.peg.3134	0
272563.8.peg.3135	0
272563.8.peg.3138	0
272563.8.peg.3139	0
272563.8.peg.3146	4
272563.8.peg.3147	4
272563.8.peg.3148	4
272563.8.peg.3150	7
272563.8.peg.3153	2
272563.8.peg.3156	3
272563.8.peg.3171	0
272563.8.peg.3174	0
272563.8.peg.3176	0
272563.8.peg.3177	0
272563.8.peg.318	0
272563.8.peg.3192	0
272563.8.peg.3202	2
272563.8.peg.3204	1
272563.8.peg.3208	0
272563.8.peg.3209	0
272563.8.peg.320	0
272563.8.peg.3218	2
272563.8.peg.321	2
272563.8.peg.3223	0
272563.8.peg.3224	0
272563.8.peg.3225	0
272563.8.peg.3226	0
272563.8.peg.3228	2
272563.8.peg.3229	0
272563.8.peg.322	2
272563.8.peg.3235	74
272563.8.peg.3239	1
272563.8.peg.323	1
272563.8.peg.3240	1
272563.8.peg.3241	0
272563.8.peg.3244	0
272563.8.peg.3245	0
272563.8.peg.3247	0
272563.8.peg.3249	0
272563.8.peg.3250	0
272563.8.peg.3253	0
272563.8.peg.3259	1
272563.8.peg.3260	0
272563.8.peg.3269	0
272563.8.peg.3270	0
272563.8.peg.3272	0
272563.8.peg.3273	0
272563.8.peg.3275	1
272563.8.peg.3279	9
272563.8.peg.3281	0
272563.8.peg.3282	1
272563.8.peg.330	3
272563.8.peg.3321	31
272563.8.peg.3322	8
272563.8.peg.3323	10
272563.8.peg.3324	4
272563.8.peg.3325	15
272563.8.peg.3328	0
272563.8.peg.3329	1
272563.8.peg.3332	1
272563.8.peg.3333	0
272563.8.peg.3343	4
272563.8.peg.3375	3
272563.8.peg.3377	2
272563.8.peg.3380	12
272563.8.peg.3384	1
272563.8.peg.3388	10
272563.8.peg.3390	58
272563.8.peg.3392	46
272563.8.peg.3393	70
272563.8.peg.3394	112
272563.8.peg.3396	69
272563.8.peg.3406	1
272563.8.peg.3409	4
272563.8.peg.3414	0
272563.8.peg.3415	0
272563.8.peg.3416	0
272563.8.peg.3421	1
272563.8.peg.3425	1
272563.8.peg.3427	6
272563.8.peg.3429	0
272563.8.peg.3430	0
272563.8.peg.3431	1
272563.8.peg.3432	0
272563.8.peg.3434	3
272563.8.peg.3435	41
272563.8.peg.3436	10
272563.8.peg.3438	14
272563.8.peg.3439	1
272563.8.peg.3464	2
272563.8.peg.3472	10
272563.8.peg.348	3
272563.8.peg.3510	1
272563.8.peg.353	15
272563.8.peg.354	1
272563.8.peg.3557	3
272563.8.peg.3558	0
272563.8.peg.3559	5
272563.8.peg.3565	2
272563.8.peg.3578	0
272563.8.peg.3580	0
272563.8.peg.3582	6
272563.8.peg.3583	0
272563.8.peg.3584	2
272563.8.peg.3585	2
272563.8.peg.3588	3
272563.8.peg.3591	1
272563.8.peg.3595	0
272563.8.peg.3596	1
272563.8.peg.3598	3
272563.8.peg.3600	3
272563.8.peg.3601	3
272563.8.peg.3602	8
272563.8.peg.3606	5
272563.8.peg.3613	2
272563.8.peg.3616	0
272563.8.peg.3621	2
272563.8.peg.3624	6
272563.8.peg.3625	2
272563.8.peg.3628	28
272563.8.peg.3632	8
272563.8.peg.3633	10
272563.8.peg.3634	8
272563.8.peg.3635	8
272563.8.peg.3636	5
272563.8.peg.3640	5
272563.8.peg.3641	2
272563.8.peg.3642	2
272563.8.peg.3645	6
272563.8.peg.3656	7
272563.8.peg.365	2
272563.8.peg.3664	26
272563.8.peg.3682	13
272563.8.peg.3683	3
272563.8.peg.3708	5
272563.8.peg.3711	4
272563.8.peg.3717	3
272563.8.peg.3718	2
272563.8.peg.3722	16
272563.8.peg.3725	6
272563.8.peg.3728	0
272563.8.peg.3730	5
272563.8.peg.3732	0
272563.8.peg.3736	2
272563.8.peg.3759	4
272563.8.peg.3760	1
272563.8.peg.3761	2
272563.8.peg.3762	1
272563.8.peg.3763	0
272563.8.peg.3768	0
272563.8.peg.3769	3
272563.8.peg.3770	2
272563.8.peg.3777	0
272563.8.peg.3799	4
272563.8.peg.3804	8
272563.8.peg.3805	0
272563.8.peg.3820	0
272563.8.peg.3822	0
272563.8.peg.3823	1
272563.8.peg.3825	1
272563.8.peg.3830	1
272563.8.peg.3838	25
272563.8.peg.3846	9
272563.8.peg.3857	3
272563.8.peg.408	4
272563.8.peg.409	3
272563.8.peg.411	0
272563.8.peg.414	40
272563.8.peg.423	52
272563.8.peg.425	0
272563.8.peg.42	1
272563.8.peg.43	0
272563.8.peg.45	0
272563.8.peg.466	0
272563.8.peg.46	0
272563.8.peg.472	1
272563.8.peg.473	1
272563.8.peg.476	3
272563.8.peg.47	0
272563.8.peg.48	1
272563.8.peg.493	0
272563.8.peg.50	0
272563.8.peg.513	6
272563.8.peg.514	4
272563.8.peg.515	8
272563.8.peg.516	7
272563.8.peg.517	3
272563.8.peg.518	15
272563.8.peg.51	2
272563.8.peg.52	0
272563.8.peg.55	1
272563.8.peg.56	0
272563.8.peg.570	4
272563.8.peg.57	1
272563.8.peg.585	4
272563.8.peg.601	6
272563.8.peg.60	0
272563.8.peg.610	1
272563.8.peg.618	0
272563.8.peg.620	0
272563.8.peg.62	18
272563.8.peg.636	0
272563.8.peg.724	3
272563.8.peg.725	1
272563.8.peg.734	3
272563.8.peg.735	3
272563.8.peg.746	4
272563.8.peg.755	48
272563.8.peg.756	9
272563.8.peg.757	13
272563.8.peg.759	8
272563.8.peg.760	16
272563.8.peg.766	40
272563.8.peg.770	5
272563.8.peg.774	3
272563.8.peg.778	0
272563.8.peg.77	12
272563.8.peg.78	17
272563.8.peg.795	0
272563.8.peg.796	1
272563.8.peg.801	10
272563.8.peg.804	4
272563.8.peg.805	10
272563.8.peg.818	5
272563.8.peg.821	6
272563.8.peg.831	5
272563.8.peg.837	1
272563.8.peg.838	3
272563.8.peg.854	0
272563.8.peg.856	1
272563.8.peg.866	6
272563.8.peg.871	1
272563.8.peg.872	2
272563.8.peg.879	13
272563.8.peg.893	90
272563.8.peg.894	64
272563.8.peg.895	21
272563.8.peg.896	55
272563.8.peg.901	0
272563.8.peg.902	0
272563.8.peg.903	0
272563.8.peg.907	1
272563.8.peg.911	1
272563.8.peg.921	21
272563.8.peg.922	25
272563.8.peg.923	35
272563.8.peg.924	18
272563.8.peg.927	0
272563.8.peg.928	0
272563.8.peg.929	0
272563.8.peg.930	1
272563.8.peg.9	5
CD630_00450	1
CD630_01120	17
CD630_01530	2
CD630_01540	0
CD630_01550	3
CD630_01790	85
CD630_02440	3
CD630_03940	44
CD630_03950	83
CD630_03960	71
CD630_03970	92
CD630_03980	96
CD630_06820	1
CD630_07500	0
CD630_08730	1
CD630_08760	0
CD630_10030	2
CD630_10040	1
CD630_10100	4
CD630_10540	89
CD630_12250	2
CD630_12590	22
CD630_14930	2
CD630_17760	2
CD630_21960	0
CD630_21990	0
CD630_21991	0
CD630_22770	1
CD630_23390	20
CD630_23410	15
CD630_23420	14
CD630_23540	104
CD630_23710	1
CD630_23800	27
CD630_24170	1
CD630_24180	0
CD630_25690	2
CD630_26510	5
CD630_26550	2
CD630_30130	6
CD630_30140	1
CD630_30150	4
CD630_32370_1	36
CD630_32370_2	47
CD630_32440	65
CD630_35150	5
K00529	0
T4BV06_CLODI	0
