uniprot	ec_number	refseq	kegg	patric
Q182T6_CLOD6	5.4.99.-	WP_011861614.1;YP_001089113.1	cdf:CD630_25960;pdc:CDIF630_02850	272563.120.peg.2738
Q188B7_CLOD6	5.4.99.-	WP_003435147.1;YP_001088564.1	cdf:CD630_20500;pdc:CDIF630_02272	272563.120.peg.2163
Q18AQ9_CLOD6	5.4.99.-	WP_011861083.1;YP_001087541.1	cdf:CD630_10600;pdc:CDIF630_01200	272563.120.peg.1100
EAM_CLOD6	5.4.3.9	WP_003430434.1;YP_001088767.1	cdf:CD630_22520;pdc:CDIF630_02487	272563.120.peg.2380
Q188N7_CLOD6	5.4.3.5	WP_009895465.1;YP_001086917.1	cdf:CD630_04460;pdc:CDIF630_00574	272563.120.peg.471
Q188N8_CLOD6	5.4.3.5	WP_003434665.1;YP_001086916.1	cdf:CD630_04450;pdc:CDIF630_00573	272563.120.peg.470
DEOB_CLOD6	5.4.2.7	WP_011861145.1;YP_001087716.1	cdf:CD630_12230;pdc:CDIF630_01372	272563.120.peg.1274
Q184W6_CLOD6	5.4.2.6	WP_011861837.1;YP_001089643.1	cdf:CD630_31280;pdc:CDIF630_03413	272563.120.peg.3296
Q185X7_CLOD6	5.4.2.6	WP_003433900.1;YP_001088702.1	cdf:CD630_21890;pdc:CDIF630_02421	272563.120.peg.2311
Q183L5_CLOD6	5.4.2.2	WP_004454107.1;YP_001089293.1	cdf:CD630_27800;pdc:CDIF630_03043	272563.120.peg.2928
Q186D0_CLOD6	5.4.2.2	WP_009896733.1;YP_001088077.1	cdf:CD630_15770;pdc:CDIF630_01746	272563.120.peg.1650
GPMI_CLOD6	5.4.2.12	WP_011861866.1;YP_001089688.1	cdf:CD630_31710	272563.8.peg.3322
GLMM_CLOD6	5.4.2.10	WP_011860638.1;YP_001086588.2	cdf:CD630_01190;pdc:CDIF630_00234	272563.120.peg.131
Q185J2_CLOD6	5.4.2.-	WP_004454621.1;YP_001088833.1	cdf:CD630_23180;pdc:CDIF630_02556	272563.120.peg.2449
Q180S7_CLOD6	5.4.1.2	WP_003437747.1;YP_001089950.1	cdf:CD630_34300;pdc:CDIF630_03738	272563.120.peg.3624
G6PI_CLOD6	5.3.1.9	WP_003435635.1;YP_001089801.1	cdf:CD630_32850;pdc:CDIF630_03585	272563.120.peg.3470
