uniprot	ec_number	refseq	kegg	patric
DEOC_CLOD6	4.1.2.4	WP_003439345.1;YP_001088002.1	cdf:CD630_15020;pdc:CDIF630_01667	272563.120.peg.1571
Q18BX1_CLOD6	4.1.2.25	WP_011861219.1;YP_001087952.1	cdf:CD630_14510;pdc:CDIF630_01615	272563.120.peg.1520
Q184R0_CLOD6	4.1.2.2	WP_011861804.1;YP_001089588.1	cdf:CD630_30740;pdc:CDIF630_03357	272563.120.peg.3240
Q185E8_CLOD6	4.1.2.17	WP_011861507.1;YP_001088789.1	cdf:CD630_22770;pdc:CDIF630_02512	272563.120.peg.2404
Q188J1_CLOD6	4.1.2.13	WP_011860777.1;YP_001086869.1	cdf:CD630_04030;pdc:CDIF630_00531	272563.120.peg.423
Q184X4_CLOD6	4.1.2.13	WP_003431312.1;YP_001089650.1	cdf:CD630_31350;pdc:CDIF630_03420	272563.120.peg.3303
Q180U5_CLOD6	4.1.2.-	WP_009898685.1;YP_001089968.1	cdf:CD630_34480;pdc:CDIF630_03759	272563.120.peg.3644
HPDS_CLOD6	4.1.1.83	WP_003425410.1;YP_001086623.1	cdf:CD630_01540;pdc:CDIF630_00273	272563.120.peg.167
HPDL_CLOD6	4.1.1.83	WP_009901609.1;YP_001086622.1	cdf:CD630_01530;pdc:CDIF630_00272	272563.120.peg.166
Q180S9_CLOD6	4.1.1.81	WP_011861966.1;YP_001089952.1	cdf:CD630_34320;pdc:CDIF630_03740	272563.120.peg.3626
Q183C6_CLOD6	4.1.1.81	WP_011861645.1;YP_001089203.1	cdf:CD630_26920;pdc:CDIF630_02947	272563.120.peg.2836
Q18A81_CLOD6	4.1.1.50	WP_003418655.1;YP_001087363.1	cdf:CD630_08890;pdc:CDIF630_01009	272563.120.peg.913
Q182S7_CLOD6	4.1.1.36;_6.3.2.5	WP_011861611.1;YP_001089103.1	cdf:CD630_25870;pdc:CDIF630_02840	272563.120.peg.2728
Q181J5_CLOD6	4.1.1.23	WP_003435818.1;YP_001090116.1	cdf:CD630_35920;pdc:CDIF630_03914	272563.120.peg.3797
Q188C1_CLOD6	4.1.1.20	WP_009902969.1;YP_001088567.1	cdf:CD630_20530;pdc:CDIF630_02275	272563.120.peg.2167
Q187B7_CLOD6	4.1.1.20	WP_011861341.1;YP_001088314.1	cdf:CD630_18080;pdc:CDIF630_02007	272563.120.peg.1901
Q18A82_CLOD6	4.1.1.19	WP_011860979.1;YP_001087362.1	cdf:CD630_08880;pdc:CDIF630_01008	272563.120.peg.912
Q181F1_CLOD6	4.1.1.19	WP_011861997.1;YP_001090072.1	cdf:CD630_35510;pdc:CDIF630_03866	272563.120.peg.3752
LEPA_CLOD6	3.6.5.n1	WP_003416556.1;YP_001088981.1	cdf:CD630_24670;pdc:CDIF630_02713	272563.120.peg.2606
OBG_CLOD6	3.6.5.-	WP_009888921.1;YP_001087656.1	cdf:CD630_11640;pdc:CDIF630_01311	272563.120.peg.1214
Q189U3_CLOD6	3.6.4.12	WP_011860946.1;YP_001087226.1	cdf:CD630_07490	272563.8.peg.786
Q188P5_CLOD6	3.6.4.12	WP_011860818.1;YP_001086928.1	cdf:CD630_04550;pdc:CDIF630_00583	272563.120.peg.480
Q181Q8_CLOD6	3.6.4.12	WP_003420541.1;YP_001090181.1	cdf:CD630_36570;pdc:CDIF630_03985	272563.120.peg.3867
Q18D66_CLOD6	3.6.4.12	WP_009888186.1;YP_001086797.1	cdf:CD630_03280;pdc:CDIF630_00456	272563.120.peg.347
Q183P4_CLOD6	3.6.4.12	WP_003426582.1;YP_001089319.2	cdf:CD630_28060;pdc:CDIF630_03071	272563.120.peg.2956
RUVB_CLOD6	3.6.4.12	WP_003426579.1;YP_001089318.1	cdf:CD630_28050;pdc:CDIF630_03070	272563.120.peg.2955
Q182P8_CLOD6	3.6.4.12	WP_011861601.1;YP_001089075.2	cdf:CD630_25600;pdc:CDIF630_02811	272563.120.peg.2699
Q187I0_CLOD6	3.6.4.12	WP_009889821.1;YP_001088374.1	cdf:CD630_18660;pdc:CDIF630_02069	272563.120.peg.1961
Q18CM1_CLOD6	3.6.4.12	WP_003434402.1;YP_001086601.1	cdf:CD630_01320;pdc:CDIF630_00249	272563.120.peg.144
Q18BJ7_CLOD6	3.6.4.12	WP_011861177.1;YP_001087826.1	cdf:CD630_13300;pdc:CDIF630_01486	272563.120.peg.1390
Q18AN6_CLOD6	3.6.4.12	WP_003437942.1;YP_001087519.1	cdf:CD630_10380;pdc:CDIF630_01178	272563.120.peg.1078
Q181A0_CLOD6	3.6.4.-	WP_003425912.1;YP_001090022.1	cdf:CD630_35010;pdc:CDIF630_03814	272563.120.peg.3701
Q180Y6_CLOD6	3.6.4.-	WP_009898714.1;YP_001090008.2	cdf:CD630_34870;pdc:CDIF630_03799	272563.120.peg.3686
Q182S5_CLOD6	3.6.4.-	WP_011861610.1;YP_001089102.1	cdf:CD630_25860;pdc:CDIF630_02839	272563.120.peg.2727
Q183R9_CLOD6	3.6.3.8	WP_009898004.1;YP_001089346.1	cdf:CD630_28330;pdc:CDIF630_03100	272563.120.peg.2985
Q182I9_CLOD6	3.6.3.8	WP_011861573.1;YP_001089016.1	cdf:CD630_25030;pdc:CDIF630_02751	272563.120.peg.2642
Q187D1_CLOD6	3.6.3.8	WP_009902789.1;YP_001088329.1	cdf:CD630_18240;pdc:CDIF630_02025	272563.120.peg.1919
Q186J2_CLOD6	3.6.3.8	WP_009893200.1;YP_001088138.1	cdf:CD630_16370;pdc:CDIF630_01814	272563.120.peg.1715
Q18D50_CLOD6	3.6.3.5	WP_011860727.1;YP_001086782.1	cdf:CD630_03130;pdc:CDIF630_00438	272563.120.peg.332
Q185Q4_CLOD6	3.6.3.4	WP_011861457.1;YP_001088629.1	cdf:CD630_21150;pdc:CDIF630_02340	272563.120.peg.2230
Q18D31_CLOD6	3.6.3.30	WP_011860718.1;YP_001086762.2	cdf:CD630_02930	272563.8.peg.314
Q180M4_CLOD6	3.6.3.2	WP_011861944.1;YP_001089897.1	cdf:CD630_33770;pdc:CDIF630_03681	272563.120.peg.3570
Q180M0_CLOD6	3.6.3.2	WP_011861942.1;YP_001089892.1	cdf:CD630_33730;pdc:CDIF630_03677	272563.120.peg.3566
Q180X3_CLOD6	3.6.3.14	WP_003437838.1;YP_001089995.1	cdf:CD630_34750;pdc:CDIF630_03786	272563.120.peg.3672
Q180W6_CLOD6	3.6.3.14	WP_003425849.1;YP_001089987.1	cdf:CD630_34670;pdc:CDIF630_03778	272563.120.peg.3664
Q184E9_CLOD6	3.6.3.14	WP_003422657.1;YP_001089476.1	cdf:CD630_29590;pdc:CDIF630_03243	272563.120.peg.3126
Q184E5_CLOD6	3.6.3.14	WP_003439726.1;YP_001089474.1	cdf:CD630_29570;pdc:CDIF630_03241	272563.120.peg.3124
Q184E6_CLOD6	3.6.3.14	WP_009893746.1;YP_001089473.2	cdf:CD630_29561;pdc:CDIF630_03240	272563.120.peg.3123
Q18CY8_CLOD6	3.6.3.14	WP_011860700.1;YP_001086719.1	cdf:CD630_02510;pdc:CDIF630_00374	272563.120.peg.267
Q18A20_CLOD6	3.6.3.-	WP_004454245.1;YP_001087299.1	cdf:CD630_08220;pdc:CDIF630_00940	272563.8.peg.860
Q187Z3_CLOD6	3.6.3.-	WP_003435188.1;YP_001088538.1	cdf:CD630_20240	272563.8.peg.2129
Q187T8_CLOD6	3.6.3.-	WP_011861410.1;YP_001088484.1	cdf:CD630_19780	272563.8.peg.2074
Q18C60_CLOD6	3.6.3.-	WP_011861245.1;YP_001088040.1	cdf:CD630_15390	272563.8.peg.1615
Q18BS1_CLOD6	3.6.3.-	WP_011861202.1;YP_001087905.1	cdf:CD630_14050	272563.8.peg.1477
Q18A90_CLOD6	3.6.3.-	WP_003437132.1;YP_001087374.1	cdf:CD630_09000;pdc:CDIF630_01020	272563.120.peg.924
